Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Arsenal,3,3,2,0,2,0,2
2,Arsenal,3,6,2,0,4,0,3
3,Arsenal,1,7,1,1,5,1,4
4,Arsenal,3,10,1,0,6,1,2
5,Arsenal,1,11,2,2,8,3,4
6,Arsenal,3,14,4,2,12,5,3
7,Arsenal,3,17,3,1,15,6,3
8,Arsenal,0,17,0,2,15,8,3
9,Arsenal,1,18,2,2,17,10,3
10,Arsenal,0,18,0,1,17,11,5
11,Arsenal,1,19,1,1,18,12,4
12,Arsenal,3,22,3,0,21,12,4
13,Arsenal,3,25,5,2,26,14,2
14,Arsenal,3,28,2,0,28,14,3
15,Arsenal,1,29,1,1,29,15,3
16,Arsenal,1,30,0,0,29,15,3
17,Arsenal,3,33,5,1,34,16,3
18,Arsenal,3,36,1,0,35,16,2
19,Arsenal,3,39,3,1,38,17,2
20,Arsenal,1,40,1,1,39,18,2
21,Arsenal,3,43,2,1,41,19,2
22,Arsenal,1,44,2,2,43,21,2
23,Arsenal,3,47,1,0,44,21,2
24,Arsenal,3,50,5,1,49,22,2
25,Arsenal,3,53,2,0,51,22,2
26,Arsenal,0,53,0,1,51,23,2
27,Arsenal,1,54,0,0,51,23,2
28,Arsenal,1,55,1,1,52,24,2
29,Arsenal,3,58,1,0,53,24,2
30,Arsenal,3,61,2,1,55,25,2
31,Arsenal,1,62,1,1,56,26,2
32,Arsenal,1,63,1,1,57,27,2
33,Arsenal,3,66,4,0,61,27,2
34,Arsenal,1,67,2,2,63,29,2
35,Arsenal,0,67,1,2,64,31,2
36,Arsenal,1,68,2,2,66,33,2
37,Arsenal,3,71,1,0,67,33,2
38,Arsenal,3,74,2,1,69,34,2
