gw,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,1.6283,0.575835,0.0,0.0,2.134,w,3,1.052,1.6283,0.575835,3
2,1.41399,1.31664,0.0,0.0,1.305,w,3,0.097,3.0422900000000004,1.8924750000000001,6
3,2.41798,1.81748,0.0,0.0,1.738,d,1,0.601,5.46027,3.709955,7
4,1.1209,0.792595,0.0,0.0,1.083,w,3,0.328,6.58117,4.50255,10
5,1.28411,2.75588,0.0,0.0,2.211,d,1,-1.472,7.86528,7.258430000000001,11
6,6.05305,0.337909,0.0,0.0,2.976,w,3,5.715,13.918330000000001,7.596339,14
7,3.25165,1.27313,0.0,0.0,2.402,w,3,1.979,17.169980000000002,8.869469,17
8,0.740758,2.18419,0.0,0.0,2.297,l,0,-1.443,17.910738000000002,11.053659,17
9,1.0883,1.35346,0.0,0.0,1.174,d,1,-0.265,18.999038000000002,12.407119,18
10,0.911305,0.859715,0.0,0.0,1.291,l,0,0.052,19.910343,13.266834,18
11,1.9605,1.24067,0.0,0.0,0.938,d,1,0.72,21.870843,14.507503999999999,19
12,1.66016,0.403136,0.0,0.0,2.29,w,3,1.257,23.531003000000002,14.910639999999999,22
13,3.99935,1.23539,0.0,0.0,0.289,w,3,2.764,27.530353,16.14603,25
14,2.96684,0.256083,0.0,0.0,2.798,w,3,2.711,30.497193000000003,16.402113,28
15,2.4333,0.150988,0.0,0.0,0.15,d,1,2.282,32.930493000000006,16.553101,29
16,1.30865,0.132166,0.0,0.0,2.332,d,1,1.176,34.239143000000006,16.685267000000003,30
17,3.05434,1.6052,0.0,0.0,0.686,w,3,1.449,37.29348300000001,18.290467000000003,33
18,2.16462,0.0783327,0.0,0.0,2.722,w,3,2.086,39.45810300000001,18.368799700000004,36
19,1.99848,0.272604,0.0,0.0,0.292,w,3,1.726,41.45658300000001,18.641403700000005,39
20,1.81142,1.76513,0.0,0.0,1.362,d,1,0.046,43.26800300000001,20.406533700000004,40
21,2.25501,0.777071,0.0,0.0,2.304,w,3,1.478,45.523013000000006,21.183604700000004,43
22,1.64458,1.20602,0.0,0.0,1.672,d,1,0.439,47.167593000000004,22.389624700000002,44
23,0.887358,0.514724,0.0,0.0,0.981,w,3,0.373,48.054951,22.904348700000003,47
24,1.53202,0.743191,0.0,0.0,1.942,w,3,0.789,49.586971000000005,23.647539700000003,50
25,1.75,0.233209,0.0,0.0,0.331,w,3,1.517,51.336971000000005,23.8807487,53
26,1.37264,1.02684,0.0,0.0,1.615,l,0,0.346,52.709611,24.9075887,53
27,1.31766,0.508611,0.0,0.0,0.718,d,1,0.809,54.027271,25.4161997,54
28,1.82996,1.31107,0.0,0.0,1.054,d,1,0.519,55.857231,26.7272697,55
29,0.695725,0.286036,0.0,0.0,1.685,w,3,0.41,56.552956,27.0133057,58
30,2.30189,1.44206,0.0,0.0,1.902,w,3,0.86,58.854846,28.4553657,61
31,1.4031,1.22875,0.0,0.0,1.248,d,1,0.174,60.257946000000004,29.684115700000003,62
32,0.767369,0.588583,0.0,0.0,1.469,d,1,0.179,61.025315000000006,30.272698700000003,63
33,2.81362,0.192879,0.0,0.0,0.121,w,3,2.621,63.838935000000006,30.465577700000004,66
34,1.92149,2.50515,0.0,0.0,1.086,d,1,-0.584,65.76042500000001,32.970727700000005,67
35,2.05484,1.41783,0.0,0.0,1.781,l,0,0.637,67.81526500000001,34.38855770000001,67
36,2.18795,2.74682,0.0,0.0,1.701,d,1,-0.559,70.00321500000001,37.13537770000001,68
37,1.15958,2.24634,0.0,0.0,0.753,w,3,-1.087,71.16279500000002,39.38171770000001,71
38,2.40711,0.598144,0.0,0.0,0.372,w,3,1.809,73.56990500000002,39.97986170000001,74
