Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Aston Villa,3,3,2,1,2,1,5
2,Aston Villa,0,3,0,2,2,3,12
3,Aston Villa,3,6,2,1,4,4,7
4,Aston Villa,3,9,3,2,7,6,5
5,Aston Villa,3,12,3,1,10,7,3
6,Aston Villa,1,13,2,2,12,9,5
7,Aston Villa,1,14,0,0,12,9,5
8,Aston Villa,3,17,3,1,15,10,4
9,Aston Villa,1,18,1,1,16,11,4
10,Aston Villa,0,18,1,4,17,15,6
11,Aston Villa,0,18,0,2,17,17,9
12,Aston Villa,1,19,2,2,19,19,8
13,Aston Villa,0,19,0,3,19,22,12
14,Aston Villa,3,22,3,1,22,23,8
15,Aston Villa,3,25,1,0,23,23,6
16,Aston Villa,0,25,1,2,24,25,7
17,Aston Villa,3,28,2,1,26,26,6
18,Aston Villa,0,28,0,3,26,29,9
19,Aston Villa,1,29,2,2,28,31,9
20,Aston Villa,3,32,2,1,30,32,8
21,Aston Villa,3,35,1,0,31,32,7
22,Aston Villa,1,36,2,2,33,34,8
23,Aston Villa,1,37,1,1,34,35,8
24,Aston Villa,0,37,0,2,34,37,8
25,Aston Villa,1,38,1,1,35,38,9
26,Aston Villa,1,39,2,2,37,40,10
27,Aston Villa,3,42,2,1,39,41,10
28,Aston Villa,0,42,1,4,40,45,10
29,Aston Villa,3,45,1,0,41,45,9
30,Aston Villa,3,48,3,0,44,45,7
31,Aston Villa,3,51,2,1,46,46,7
32,Aston Villa,3,54,3,0,49,46,7
33,Aston Villa,3,57,4,1,53,47,7
34,Aston Villa,0,57,1,2,54,49,7
35,Aston Villa,3,60,1,0,55,49,7
36,Aston Villa,3,63,1,0,56,49,6
37,Aston Villa,3,66,2,0,58,49,6
38,Aston Villa,0,66,0,2,58,51,6
