Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Bournemouth,1,1,1,1,1,1,9
2,Bournemouth,1,2,1,1,2,2,14
3,Bournemouth,3,5,3,2,5,4,8
4,Bournemouth,0,5,0,1,5,5,11
5,Bournemouth,0,5,0,3,5,8,13
6,Bournemouth,3,8,3,1,8,9,11
7,Bournemouth,0,8,0,1,8,10,13
8,Bournemouth,3,11,2,0,10,10,11
9,Bournemouth,1,12,1,1,11,11,11
10,Bournemouth,3,15,2,1,13,12,10
11,Bournemouth,0,15,2,3,15,15,12
12,Bournemouth,0,15,1,2,16,17,13
13,Bournemouth,3,18,4,2,20,19,13
14,Bournemouth,3,21,1,0,21,19,9
15,Bournemouth,3,24,2,1,23,20,8
16,Bournemouth,1,25,1,1,24,21,6
17,Bournemouth,3,28,3,0,27,21,5
18,Bournemouth,1,29,0,0,27,21,6
19,Bournemouth,1,30,2,2,29,23,7
20,Bournemouth,3,33,1,0,30,23,7
21,Bournemouth,1,34,2,2,32,25,8
22,Bournemouth,3,37,4,1,36,26,7
23,Bournemouth,3,40,5,0,41,26,7
24,Bournemouth,0,40,0,2,41,28,7
25,Bournemouth,3,43,3,1,44,29,5
26,Bournemouth,0,43,0,1,44,30,6
27,Bournemouth,0,43,1,2,45,32,7
28,Bournemouth,1,44,2,2,47,34,8
29,Bournemouth,0,44,1,2,48,36,10
30,Bournemouth,0,44,1,2,49,38,10
31,Bournemouth,1,45,2,2,51,40,10
32,Bournemouth,3,48,1,0,52,40,8
33,Bournemouth,1,49,0,0,52,40,8
34,Bournemouth,1,50,1,1,53,41,10
35,Bournemouth,3,53,2,1,55,42,8
36,Bournemouth,0,53,0,1,55,43,10
37,Bournemouth,0,53,1,3,56,46,11
38,Bournemouth,3,56,2,0,58,46,9
