gw,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,1.90915,1.24405,0.0,0.0,0.967,d,1,0.665,1.90915,1.24405,1
2,2.53513,1.89287,0.0,0.0,1.756,d,1,0.642,4.44428,3.13692,2
3,2.95688,2.55629,0.0,0.0,1.215,w,3,0.401,7.40116,5.6932100000000005,5
4,1.53731,0.932726,0.0,0.0,1.799,l,0,0.605,8.93847,6.625936,5
5,1.46979,2.43731,0.0,0.0,1.955,l,0,-0.968,10.40826,9.063246,5
6,1.44215,0.696068,0.0,0.0,1.921,w,3,0.746,11.85041,9.759314,8
7,1.94963,0.912063,0.0,0.0,0.723,l,0,1.038,13.80004,10.671377,8
8,2.18419,0.740758,0.0,0.0,2.297,w,3,1.443,15.98423,11.412135,11
9,0.328651,1.974,0.0,0.0,2.491,d,1,-1.645,16.312881,13.386135,12
10,2.4493,2.3527,0.0,0.0,1.458,w,3,0.097,18.762181,15.738835,15
11,2.49234,1.56474,0.0,0.0,0.887,l,0,0.928,21.254521,17.303575,15
12,1.91157,1.23059,0.0,0.0,1.821,l,0,0.681,23.166091,18.534164999999998,15
13,3.07901,0.866034,0.0,0.0,0.335,w,3,2.213,26.245101000000002,19.400198999999997,18
14,3.27716,0.623934,0.0,0.0,2.705,w,3,2.653,29.522261,20.024132999999996,21
15,3.49127,1.5668,0.0,0.0,0.529,w,3,1.924,33.013531,21.590932999999996,24
16,2.04842,1.81827,0.0,0.0,1.53,d,1,0.23,35.061951,23.409202999999998,25
17,1.82831,2.28533,0.0,0.0,1.66,w,3,-0.457,36.890261,25.694533,28
18,1.20189,0.500066,0.0,0.0,1.918,d,1,0.702,38.092151,26.194599,29
19,1.70692,0.961566,0.0,0.0,0.874,d,1,0.745,39.799071,27.156165,30
20,2.61852,0.561015,0.0,0.0,2.569,w,3,2.058,42.417591,27.717180000000003,33
21,1.14845,2.53808,0.0,0.0,2.197,d,1,-1.39,43.566041,30.255260000000003,34
22,2.70174,0.837801,0.0,0.0,0.415,w,3,1.864,46.267781,31.093061000000002,37
23,2.8254,0.996166,0.0,0.0,2.399,w,3,1.829,49.093181,32.089227,40
24,1.65273,2.7219,0.0,0.0,0.839,l,0,-1.069,50.745911,34.811127,40
25,2.08722,0.974418,0.0,0.0,0.705,w,3,1.113,52.833131,35.785545,43
26,0.629691,2.10124,0.0,0.0,0.481,l,0,-1.472,53.462822,37.886784999999996,43
27,1.70169,2.57927,0.0,0.0,1.889,l,0,-0.878,55.164512,40.466055,43
28,2.22536,1.35053,0.0,0.0,0.88,d,1,0.875,57.389872000000004,41.816584999999996,44
29,2.02714,1.60321,0.0,0.0,1.648,l,0,0.424,59.41701200000001,43.41979499999999,44
30,1.99637,1.41263,0.0,0.0,1.751,l,0,0.584,61.413382000000006,44.83242499999999,44
31,1.94869,0.907832,0.0,0.0,0.721,d,1,1.041,63.362072000000005,45.74025699999999,45
32,1.8577,1.07203,0.0,0.0,1.898,w,3,0.786,65.219772,46.81228699999999,48
33,0.664093,0.337818,0.0,0.0,0.946,d,1,0.326,65.883865,47.15010499999999,49
34,0.60995,1.91039,0.0,0.0,0.536,d,1,-1.3,66.493815,49.06049499999999,50
35,1.41783,2.05484,0.0,0.0,1.781,w,3,-0.637,67.911645,51.11533499999999,53
36,1.02272,1.12376,0.0,0.0,1.275,l,0,-0.101,68.934365,52.239094999999985,53
37,0.962014,1.59779,0.0,0.0,1.817,l,0,-0.636,69.896379,53.83688499999999,53
38,2.72449,0.156702,0.0,0.0,2.8,w,3,2.568,72.620869,53.99358699999999,56
