Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Brentford,3,3,2,1,2,1,6
2,Brentford,0,3,0,2,2,3,13
3,Brentford,3,6,3,1,5,4,6
4,Brentford,0,6,1,2,6,6,9
5,Brentford,0,6,1,3,7,9,12
6,Brentford,1,7,1,1,8,10,12
7,Brentford,3,10,5,3,13,13,11
8,Brentford,0,10,1,2,14,15,13
9,Brentford,3,13,4,3,18,18,9
10,Brentford,0,13,1,2,19,20,12
11,Brentford,3,16,3,2,22,22,11
12,Brentford,1,17,0,0,22,22,11
13,Brentford,3,20,4,1,26,23,8
14,Brentford,0,20,1,3,27,26,11
15,Brentford,3,23,4,2,31,28,9
16,Brentford,0,23,1,2,32,30,11
17,Brentford,0,23,0,2,32,32,12
18,Brentford,1,24,0,0,32,32,11
19,Brentford,0,24,1,3,33,35,12
20,Brentford,3,27,5,0,38,35,11
21,Brentford,1,28,2,2,40,37,11
22,Brentford,0,28,0,2,40,39,11
23,Brentford,3,31,2,1,42,40,11
24,Brentford,0,31,0,2,42,42,11
25,Brentford,3,34,1,0,43,42,11
26,Brentford,3,37,4,0,47,42,11
27,Brentford,1,38,1,1,48,43,11
28,Brentford,0,38,0,1,48,44,12
29,Brentford,3,41,2,1,50,45,11
30,Brentford,0,41,1,2,51,47,12
31,Brentford,1,42,0,0,51,47,12
32,Brentford,1,43,1,1,52,48,11
33,Brentford,3,46,4,2,56,50,11
34,Brentford,3,49,2,0,58,50,11
35,Brentford,3,52,4,3,62,53,9
36,Brentford,3,55,1,0,63,53,8
37,Brentford,0,55,2,3,65,56,9
38,Brentford,1,56,1,1,66,57,10
