gw,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,1.38064,1.14757,0.0,0.0,1.532,w,3,0.233,1.38064,1.14757,3
2,0.457239,2.71877,0.0,0.0,2.652,l,0,-2.262,1.837879,3.86634,3
3,3.86281,1.64713,0.0,0.0,2.422,w,3,2.216,5.700689000000001,5.51347,6
4,1.05094,1.55279,0.0,0.0,1.722,l,0,-0.502,6.751629,7.06626,6
5,0.893565,3.89481,0.0,0.0,2.723,l,0,-3.001,7.645194,10.96107,6
6,0.370222,0.878617,0.0,0.0,0.836,d,1,-0.508,8.015416,11.839687,7
7,4.13513,0.696254,0.0,0.0,2.82,w,3,3.439,12.150546,12.535941,10
8,0.892843,1.76555,0.0,0.0,1.972,l,0,-0.873,13.043389000000001,14.301490999999999,10
9,4.09663,1.65698,0.0,0.0,2.484,w,3,2.44,17.140019000000002,15.958471,13
10,0.739231,1.43017,0.0,0.0,1.878,l,0,-0.691,17.879250000000003,17.388641,13
11,1.56474,2.49234,0.0,0.0,0.887,w,3,-0.928,19.443990000000003,19.880981,16
12,1.34314,1.5951,0.0,0.0,1.545,d,1,-0.252,20.787130000000005,21.476080999999997,17
13,2.21885,0.907555,0.0,0.0,2.202,w,3,1.311,23.005980000000005,22.383635999999996,20
14,1.13266,3.21673,0.0,0.0,2.459,l,0,-2.084,24.138640000000006,25.600365999999994,20
15,1.746,1.95645,0.0,0.0,1.267,w,3,-0.21,25.884640000000005,27.556815999999994,23
16,1.65861,2.59146,0.0,0.0,1.92,l,0,-0.933,27.543250000000004,30.148275999999996,23
17,0.769004,0.964897,0.0,0.0,1.17,l,0,-0.196,28.312254000000003,31.113172999999996,23
18,0.961233,1.33538,0.0,0.0,1.637,d,1,-0.374,29.273487000000003,32.448553,24
19,0.272604,1.99848,0.0,0.0,0.292,l,0,-1.726,29.546091000000004,34.447033,24
20,5.54874,0.249614,0.0,0.0,0.014,w,3,5.299,35.094831000000006,34.696647,27
21,2.39088,2.65315,0.0,0.0,1.273,d,1,-0.262,37.48571100000001,37.349796999999995,28
22,1.20021,4.16249,0.0,0.0,0.251,l,0,-2.962,38.68592100000001,41.51228699999999,28
23,1.92037,1.23177,0.0,0.0,0.953,w,3,0.689,40.606291000000006,42.74405699999999,31
24,1.66475,0.945355,0.0,0.0,1.872,l,0,0.719,42.271041000000004,43.68941199999999,31
25,1.96499,0.673466,0.0,0.0,0.558,w,3,1.292,44.236031000000004,44.36287799999999,34
26,2.03465,0.727901,0.0,0.0,0.567,w,3,1.307,46.270681,45.09077899999999,37
27,1.34009,1.44955,0.0,0.0,1.299,d,1,-0.109,47.610771,46.54032899999999,38
28,0.637743,1.29638,0.0,0.0,0.841,l,0,-0.659,48.248514,47.83670899999999,38
29,1.60321,2.02714,0.0,0.0,1.648,w,3,-0.424,49.851724,49.863848999999995,41
30,1.53201,2.26584,0.0,0.0,1.827,l,0,-0.734,51.383734,52.12968899999999,41
31,1.36123,1.47829,0.0,0.0,1.296,d,1,-0.117,52.744963999999996,53.60797899999999,42
32,0.588583,0.767369,0.0,0.0,1.469,d,1,-0.179,53.333546999999996,54.375347999999995,43
33,2.95516,1.24107,0.0,0.0,2.314,w,3,1.714,56.288706999999995,55.616417999999996,46
34,1.52054,0.670607,0.0,0.0,0.749,w,3,0.85,57.80924699999999,56.28702499999999,49
35,3.58737,1.13404,0.0,0.0,2.564,w,3,2.453,61.39661699999999,57.42106499999999,52
36,1.32077,0.717433,0.0,0.0,0.895,w,3,0.603,62.717386999999995,58.13849799999999,55
37,2.43045,1.61741,0.0,0.0,1.862,l,0,0.813,65.147837,59.75590799999999,55
38,1.97196,1.10889,0.0,0.0,0.845,d,1,0.863,67.11979699999999,60.86479799999999,56
