Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Brighton,3,3,3,0,3,0,1
2,Brighton,3,6,2,1,5,1,2
3,Brighton,1,7,1,1,6,2,3
4,Brighton,1,8,0,0,6,2,6
5,Brighton,1,9,2,2,8,4,7
6,Brighton,0,9,2,4,10,8,9
7,Brighton,3,12,3,2,13,10,6
8,Brighton,3,15,1,0,14,10,5
9,Brighton,1,16,2,2,16,12,6
10,Brighton,0,16,1,2,17,14,8
11,Brighton,3,19,2,1,19,15,6
12,Brighton,3,22,2,1,21,16,5
13,Brighton,1,23,1,1,22,17,4
14,Brighton,0,23,1,3,23,20,5
15,Brighton,1,24,2,2,25,22,7
16,Brighton,0,24,1,3,26,25,9
17,Brighton,1,25,1,1,27,26,10
18,Brighton,1,26,0,0,27,26,10
19,Brighton,1,27,2,2,29,28,10
20,Brighton,1,28,1,1,30,29,10
21,Brighton,3,31,2,0,32,29,9
22,Brighton,3,34,3,1,35,30,9
23,Brighton,0,34,0,1,35,31,9
24,Brighton,0,34,0,7,35,38,10
25,Brighton,3,37,3,0,38,38,10
26,Brighton,3,40,4,0,42,38,8
27,Brighton,3,43,2,1,44,39,8
28,Brighton,3,46,2,1,46,40,7
29,Brighton,1,47,2,2,48,42,7
30,Brighton,0,47,0,3,48,45,8
31,Brighton,0,47,1,2,49,47,9
32,Brighton,1,48,2,2,51,49,10
33,Brighton,0,48,2,4,53,53,10
34,Brighton,3,51,3,2,56,55,9
35,Brighton,1,52,1,1,57,56,10
36,Brighton,3,55,2,0,59,56,9
37,Brighton,3,58,3,2,62,58,8
38,Brighton,3,61,4,1,66,59,8
