Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Chelsea,0,0,0,2,0,2,17
2,Chelsea,3,3,6,2,6,4,8
3,Chelsea,1,4,1,1,7,5,11
4,Chelsea,3,7,1,0,8,5,8
5,Chelsea,3,10,3,0,11,5,5
6,Chelsea,3,13,4,2,15,7,4
7,Chelsea,1,14,1,1,16,8,4
8,Chelsea,0,14,1,2,17,10,6
9,Chelsea,3,17,2,1,19,11,5
10,Chelsea,1,18,1,1,20,12,4
11,Chelsea,1,19,1,1,21,13,3
12,Chelsea,3,22,2,1,23,14,3
13,Chelsea,3,25,3,0,26,14,3
14,Chelsea,3,28,5,1,31,15,2
15,Chelsea,3,31,4,3,35,18,2
16,Chelsea,3,34,2,1,37,19,2
17,Chelsea,1,35,0,0,37,19,2
18,Chelsea,0,35,1,2,38,21,3
19,Chelsea,0,35,0,2,38,23,4
20,Chelsea,1,36,1,1,39,24,4
21,Chelsea,1,37,2,2,41,26,5
22,Chelsea,3,40,3,1,44,27,4
23,Chelsea,0,40,1,3,45,30,6
24,Chelsea,3,43,2,1,47,31,4
25,Chelsea,0,43,0,3,47,34,6
26,Chelsea,0,43,1,2,48,36,7
27,Chelsea,3,46,4,0,52,36,5
28,Chelsea,3,49,1,0,53,36,4
29,Chelsea,0,49,0,1,53,37,5
30,Chelsea,3,52,1,0,54,37,5
31,Chelsea,1,53,0,0,54,37,5
32,Chelsea,1,54,2,2,56,39,6
33,Chelsea,3,57,2,1,58,40,6
34,Chelsea,3,60,1,0,59,40,5
35,Chelsea,3,63,3,1,62,41,5
36,Chelsea,0,63,0,2,62,43,5
37,Chelsea,3,66,1,0,63,43,5
38,Chelsea,3,69,1,0,64,43,4
