Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Crystal Palace,0,0,1,2,1,2,13
2,Crystal Palace,0,0,0,2,1,4,17
3,Crystal Palace,1,1,1,1,2,5,16
4,Crystal Palace,1,2,2,2,4,7,16
5,Crystal Palace,1,3,0,0,4,7,16
6,Crystal Palace,0,3,1,2,5,9,18
7,Crystal Palace,0,3,0,1,5,10,18
8,Crystal Palace,0,3,0,1,5,11,18
9,Crystal Palace,3,6,1,0,6,11,17
10,Crystal Palace,1,7,2,2,8,13,17
11,Crystal Palace,0,7,0,2,8,15,18
12,Crystal Palace,1,8,2,2,10,17,19
13,Crystal Palace,1,9,1,1,11,18,17
14,Crystal Palace,3,12,1,0,12,18,17
15,Crystal Palace,1,13,2,2,14,20,17
16,Crystal Palace,3,16,3,1,17,21,15
17,Crystal Palace,0,16,1,5,18,26,16
18,Crystal Palace,1,17,0,0,18,26,15
19,Crystal Palace,3,20,2,1,20,27,15
20,Crystal Palace,1,21,1,1,21,28,15
21,Crystal Palace,3,24,2,0,23,28,15
22,Crystal Palace,3,27,2,0,25,28,12
23,Crystal Palace,0,27,1,2,26,30,13
24,Crystal Palace,3,30,2,0,28,30,12
25,Crystal Palace,0,30,1,2,29,32,13
26,Crystal Palace,3,33,2,0,31,32,13
27,Crystal Palace,3,36,4,1,35,33,12
28,Crystal Palace,3,39,1,0,36,33,11
29,Crystal Palace,1,40,1,1,37,34,12
30,Crystal Palace,3,43,2,1,39,35,11
31,Crystal Palace,0,43,2,5,41,40,11
32,Crystal Palace,0,43,0,5,41,45,12
33,Crystal Palace,1,44,0,0,41,45,12
34,Crystal Palace,1,45,2,2,43,47,12
35,Crystal Palace,1,46,1,1,44,48,12
36,Crystal Palace,3,49,2,0,46,48,12
37,Crystal Palace,3,52,4,2,50,50,12
38,Crystal Palace,1,53,1,1,51,51,12
