Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Everton,0,0,0,3,0,3,20
2,Everton,0,0,0,4,0,7,20
3,Everton,0,0,2,3,2,10,20
4,Everton,0,0,2,3,4,13,20
5,Everton,1,1,1,1,5,14,19
6,Everton,3,4,2,1,7,15,16
7,Everton,1,5,0,0,7,15,16
8,Everton,3,8,2,0,9,15,16
9,Everton,1,9,1,1,10,16,16
10,Everton,0,9,0,1,10,17,16
11,Everton,1,10,0,0,10,17,16
12,Everton,1,11,0,0,10,17,15
13,Everton,0,11,0,4,10,21,15
14,Everton,3,14,4,0,14,21,15
15,Everton,1,15,0,0,14,21,15
16,Everton,1,16,0,0,14,21,16
17,Everton,1,17,1,1,15,22,15
18,Everton,0,17,0,2,15,24,16
19,Everton,0,17,0,1,15,25,16
20,Everton,0,17,0,1,15,26,16
21,Everton,3,20,3,2,18,28,16
22,Everton,3,23,1,0,19,28,16
23,Everton,3,26,4,0,23,28,15
24,Everton,1,27,2,2,25,30,15
25,Everton,3,30,2,1,27,31,14
26,Everton,1,31,2,2,29,33,14
27,Everton,1,32,1,1,30,34,16
28,Everton,1,33,1,1,31,35,15
29,Everton,1,34,1,1,32,36,15
30,Everton,0,34,0,1,32,37,15
31,Everton,1,35,1,1,33,38,15
32,Everton,3,38,1,0,34,38,13
33,Everton,0,38,0,2,34,40,13
34,Everton,0,38,0,1,34,41,15
35,Everton,1,39,2,2,36,43,14
36,Everton,3,42,3,1,39,44,13
37,Everton,3,45,2,0,41,44,13
38,Everton,3,48,1,0,42,44,13
