Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Fulham,0,0,0,1,0,1,15
2,Fulham,3,3,2,1,2,2,10
3,Fulham,1,4,1,1,3,3,12
4,Fulham,1,5,1,1,4,4,12
5,Fulham,3,8,3,1,7,5,9
6,Fulham,3,11,1,0,8,5,6
7,Fulham,0,11,2,3,10,8,8
8,Fulham,0,11,1,3,11,11,10
9,Fulham,1,12,1,1,12,12,10
10,Fulham,3,15,2,1,14,13,9
11,Fulham,3,18,2,0,16,13,7
12,Fulham,0,18,1,4,17,17,9
13,Fulham,1,19,1,1,18,18,10
14,Fulham,3,22,3,1,21,19,6
15,Fulham,1,23,1,1,22,20,10
16,Fulham,1,24,2,2,24,22,8
17,Fulham,1,25,0,0,24,22,9
18,Fulham,3,28,2,1,26,23,8
19,Fulham,1,29,2,2,28,25,8
20,Fulham,1,30,2,2,30,27,9
21,Fulham,0,30,2,3,32,30,10
22,Fulham,3,33,2,0,34,30,10
23,Fulham,0,33,0,1,34,31,10
24,Fulham,3,36,2,1,36,32,9
25,Fulham,3,39,2,1,38,33,8
26,Fulham,0,39,0,2,38,35,9
27,Fulham,3,42,2,1,40,36,9
28,Fulham,0,42,1,2,41,38,9
29,Fulham,3,45,2,0,43,38,8
30,Fulham,0,45,1,2,44,40,9
31,Fulham,3,48,3,2,47,42,8
32,Fulham,0,48,0,1,47,43,9
33,Fulham,0,48,1,2,48,45,9
34,Fulham,3,51,2,1,50,46,8
35,Fulham,0,51,0,1,50,47,11
36,Fulham,0,51,1,3,51,50,11
37,Fulham,3,54,3,2,54,52,10
38,Fulham,0,54,0,2,54,54,11
