gw,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,0.418711,2.04268,0.0,0.0,2.455,l,0,-1.624,0.418711,2.04268,0
2,1.96218,0.857005,0.0,0.0,2.108,w,3,1.105,2.380891,2.899685,3
3,1.18883,0.707048,0.0,0.0,0.965,d,1,0.482,3.5697210000000004,3.6067329999999997,4
4,2.88601,0.682719,0.0,0.0,2.583,d,1,2.203,6.455731,4.289452,5
5,3.21141,1.09768,0.0,0.0,2.475,w,3,2.114,9.667141,5.387131999999999,8
6,1.43592,0.614351,0.0,0.0,0.747,w,3,0.822,11.103061,6.0014829999999995,11
7,2.75846,1.36684,0.0,0.0,0.67,l,0,1.392,13.861521,7.368322999999999,11
8,2.63074,1.43595,0.0,0.0,2.068,l,0,1.195,16.492261,8.804272999999998,11
9,1.49531,0.884845,0.0,0.0,0.931,d,1,0.61,17.987571,9.689117999999999,12
10,1.43017,0.739231,0.0,0.0,1.878,w,3,0.691,19.417741,10.428348999999999,15
11,2.25331,1.96037,0.0,0.0,1.235,w,3,0.293,21.671051,12.388718999999998,18
12,0.717158,1.33903,0.0,0.0,0.884,l,0,-0.622,22.388209,13.727748999999998,18
13,1.57274,1.01086,0.0,0.0,0.983,d,1,0.562,23.960949,14.738608999999997,19
14,0.666644,1.09939,0.0,0.0,0.985,w,3,-0.433,24.627593,15.837998999999996,22
15,0.150988,2.4333,0.0,0.0,0.15,d,1,-2.282,24.778581000000003,18.271298999999996,23
16,1.2862,2.09698,0.0,0.0,1.89,d,1,-0.811,26.064781000000004,20.368278999999994,24
17,1.25255,0.280031,0.0,0.0,2.156,d,1,0.973,27.317331000000003,20.648309999999995,25
18,1.77929,1.55626,0.0,0.0,1.246,w,3,0.223,29.096621000000003,22.204569999999997,28
19,0.961566,1.70692,0.0,0.0,0.874,d,1,-0.745,30.058187000000004,23.911489999999997,29
20,2.65469,1.4434,0.0,0.0,2.075,d,1,1.211,32.712877000000006,25.354889999999997,30
21,2.83581,0.937322,0.0,0.0,0.427,l,0,1.898,35.54868700000001,26.292212,30
22,2.36823,0.676934,0.0,0.0,0.425,w,3,1.691,37.916917000000005,26.969146,33
23,0.560571,0.201988,0.0,0.0,1.628,l,0,0.359,38.47748800000001,27.171134,33
24,1.60881,1.22716,0.0,0.0,1.12,w,3,0.382,40.086298000000006,28.398294,36
25,2.20993,0.331301,0.0,0.0,2.575,w,3,1.879,42.296228000000006,28.729595,39
26,0.23426,1.46203,0.0,0.0,0.422,l,0,-1.228,42.530488000000005,30.191625,39
27,1.43473,0.928973,0.0,0.0,1.0,w,3,0.506,43.96521800000001,31.120597999999998,42
28,0.708227,1.94417,0.0,0.0,2.205,l,0,-1.236,44.67344500000001,33.064768,42
29,1.03966,1.40865,0.0,0.0,1.102,w,3,-0.369,45.713105000000006,34.473418,45
30,1.44206,2.30189,0.0,0.0,1.902,l,0,-0.86,47.155165000000004,36.775308,45
31,1.72764,1.40638,0.0,0.0,1.59,w,3,0.321,48.882805000000005,38.181688,48
32,1.07203,1.8577,0.0,0.0,1.898,l,0,-0.786,49.954835,40.039388,48
33,0.306122,0.75172,0.0,0.0,0.847,l,0,-0.446,50.260957000000005,40.791108,48
34,1.9956,0.935581,0.0,0.0,0.719,w,3,1.06,52.25655700000001,41.726689,51
35,0.702787,1.29013,0.0,0.0,1.809,l,0,-0.587,52.95934400000001,43.016819,51
36,1.20869,1.32604,0.0,0.0,1.283,l,0,-0.117,54.168034000000006,44.342859,51
37,1.61741,2.43045,0.0,0.0,1.862,w,3,-0.813,55.785444000000005,46.773309,54
38,2.21797,2.45923,0.0,0.0,1.276,l,0,-0.241,58.00341400000001,49.232538999999996,54
