Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Ipswich,0,0,0,2,0,2,18
2,Ipswich,0,0,1,4,1,6,18
3,Ipswich,1,1,1,1,2,7,17
4,Ipswich,1,2,0,0,2,7,17
5,Ipswich,1,3,1,1,3,8,17
6,Ipswich,1,4,2,2,5,10,15
7,Ipswich,0,4,1,4,6,14,17
8,Ipswich,0,4,0,2,6,16,17
9,Ipswich,0,4,3,4,9,20,18
10,Ipswich,1,5,1,1,10,21,18
11,Ipswich,3,8,2,1,12,22,17
12,Ipswich,1,9,1,1,13,23,18
13,Ipswich,0,9,0,1,13,24,19
14,Ipswich,0,9,0,1,13,25,18
15,Ipswich,0,9,1,2,14,27,18
16,Ipswich,3,12,2,1,16,28,18
17,Ipswich,0,12,0,4,16,32,19
18,Ipswich,0,12,0,1,16,33,19
19,Ipswich,3,15,2,0,18,33,18
20,Ipswich,1,16,2,2,20,35,18
21,Ipswich,0,16,0,2,20,37,18
22,Ipswich,0,16,0,6,20,43,18
23,Ipswich,0,16,1,4,21,47,19
24,Ipswich,0,16,1,2,22,49,19
25,Ipswich,1,17,1,1,23,50,18
26,Ipswich,0,17,1,4,24,54,18
27,Ipswich,0,17,2,3,26,57,18
28,Ipswich,0,17,0,1,26,58,18
29,Ipswich,0,17,2,4,28,62,18
30,Ipswich,3,20,2,1,30,63,18
31,Ipswich,0,20,1,2,31,65,18
32,Ipswich,1,21,2,2,33,67,18
33,Ipswich,0,21,0,4,33,71,18
34,Ipswich,0,21,0,3,33,74,18
35,Ipswich,1,22,2,2,35,76,18
36,Ipswich,0,22,0,1,35,77,18
37,Ipswich,0,22,0,2,35,79,19
38,Ipswich,0,22,1,3,36,82,19
