Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Leicester,1,1,1,1,1,1,10
2,Leicester,0,1,1,2,2,3,15
3,Leicester,0,1,1,2,3,5,15
4,Leicester,1,2,2,2,5,7,15
5,Leicester,1,3,1,1,6,8,15
6,Leicester,0,3,2,4,8,12,17
7,Leicester,3,6,1,0,9,12,15
8,Leicester,3,9,3,2,12,14,14
9,Leicester,0,9,1,3,13,17,15
10,Leicester,1,10,1,1,14,18,15
11,Leicester,0,10,0,3,14,21,15
12,Leicester,0,10,1,2,15,23,16
13,Leicester,0,10,1,4,16,27,16
14,Leicester,3,13,3,1,19,28,16
15,Leicester,1,14,2,2,21,30,16
16,Leicester,0,14,0,4,21,34,17
17,Leicester,0,14,0,3,21,37,17
18,Leicester,0,14,1,3,22,40,18
19,Leicester,0,14,0,2,22,42,19
20,Leicester,0,14,1,2,23,44,19
21,Leicester,0,14,0,2,23,46,19
22,Leicester,0,14,0,2,23,48,19
23,Leicester,3,17,2,1,25,49,17
24,Leicester,0,17,0,4,25,53,18
25,Leicester,0,17,0,2,25,55,19
26,Leicester,0,17,0,4,25,59,19
27,Leicester,0,17,0,2,25,61,19
28,Leicester,0,17,0,1,25,62,19
29,Leicester,0,17,0,3,25,65,19
30,Leicester,0,17,0,2,25,67,19
31,Leicester,0,17,0,3,25,70,19
32,Leicester,1,18,2,2,27,72,19
33,Leicester,0,18,0,1,27,73,19
34,Leicester,0,18,0,3,27,76,19
35,Leicester,3,21,2,0,29,76,19
36,Leicester,1,22,2,2,31,78,19
37,Leicester,3,25,2,0,33,78,18
38,Leicester,0,25,0,2,33,80,18
