gw,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,1.02614,1.40775,0.0,0.0,1.092,d,1,-0.382,1.02614,1.40775,1
2,0.857005,1.96218,0.0,0.0,2.108,l,0,-1.105,1.883145,3.36993,1
3,0.774741,2.16385,0.0,0.0,0.549,l,0,-1.389,2.657886,5.53378,1
4,1.65187,2.88716,0.0,0.0,2.062,d,1,-1.235,4.309756,8.42094,2
5,1.33793,1.82377,0.0,0.0,1.075,d,1,-0.486,5.647686,10.24471,3
6,0.337909,6.05305,0.0,0.0,2.976,l,0,-5.715,5.985595,16.29776,3
7,0.912063,1.94963,0.0,0.0,0.723,w,3,-1.038,6.897658,18.24739,6
8,2.83826,2.42776,0.0,0.0,1.204,w,3,0.41,9.735918,20.67515,9
9,0.832415,2.54488,0.0,0.0,0.457,l,0,-1.712,10.568332999999999,23.220029999999998,9
10,2.33858,1.33617,0.0,0.0,0.821,d,1,1.002,12.906913,24.556199999999997,10
11,0.417295,1.2369,0.0,0.0,2.018,l,0,-0.82,13.324207999999999,25.793099999999995,10
12,0.967987,2.81658,0.0,0.0,0.447,l,0,-1.849,14.292195,28.609679999999997,10
13,0.907555,2.21885,0.0,0.0,2.202,l,0,-1.311,15.19975,30.828529999999997,10
14,2.78061,2.87716,0.0,0.0,1.367,w,3,-0.097,17.98036,33.70569,13
15,1.42438,1.12184,0.0,0.0,1.582,d,1,0.303,19.40474,34.827529999999996,14
16,0.186759,3.95461,0.0,0.0,2.926,l,0,-3.768,19.591499,38.78214,14
17,0.78868,1.13531,0.0,0.0,1.07,l,0,-0.347,20.380179,39.917449999999995,14
18,0.22097,1.89935,0.0,0.0,2.54,l,0,-1.678,20.601149,41.81679999999999,14
19,1.84208,1.58002,0.0,0.0,1.551,l,0,0.262,22.443229,43.39681999999999,14
20,0.81548,2.3456,0.0,0.0,2.318,l,0,-1.53,23.258709,45.74241999999999,14
21,2.09904,2.2647,0.0,0.0,1.31,l,0,-0.166,25.357749,48.007119999999986,14
22,0.676934,2.36823,0.0,0.0,0.425,l,0,-1.691,26.034682999999998,50.37534999999998,14
23,1.40469,1.27483,0.0,0.0,1.281,w,3,0.13,27.439372999999996,51.650179999999985,17
24,0.447136,3.11261,0.0,0.0,2.745,l,0,-2.665,27.886508999999997,54.76278999999998,17
25,0.233209,1.75,0.0,0.0,0.331,l,0,-1.517,28.119717999999995,56.51278999999998,17
26,0.727901,2.03465,0.0,0.0,0.567,l,0,-1.307,28.847618999999995,58.54743999999998,17
27,0.289578,1.70437,0.0,0.0,2.404,l,0,-1.415,29.137196999999993,60.25180999999998,17
28,0.108487,1.76844,0.0,0.0,2.575,l,0,-1.66,29.245683999999994,62.020249999999976,17
29,1.30455,1.13892,0.0,0.0,1.483,l,0,0.166,30.550233999999993,63.159169999999975,17
30,0.104741,2.07165,0.0,0.0,2.679,l,0,-1.967,30.654974999999993,65.23081999999998,17
31,0.354575,3.44111,0.0,0.0,0.108,l,0,-3.087,31.009549999999994,68.67192999999997,17
32,1.98444,3.6978,0.0,0.0,2.216,d,1,-1.713,32.99399,72.36972999999998,18
33,0.232205,4.52706,0.0,0.0,0.031,l,0,-4.295,33.226195,76.89678999999998,18
34,1.04978,2.57666,0.0,0.0,2.272,l,0,-1.527,34.275974999999995,79.47344999999999,18
35,1.60739,0.550774,0.0,0.0,2.142,w,3,1.057,35.883365,80.02422399999999,21
36,1.22949,1.76909,0.0,0.0,1.735,d,1,-0.54,37.112854999999996,81.793314,22
37,0.788544,1.36957,0.0,0.0,0.926,w,3,-0.581,37.901399,83.16288399999999,25
38,0.156702,2.72449,0.0,0.0,2.8,l,0,-2.568,38.058101,85.887374,25
