Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Liverpool,3,3,2,0,2,0,3
2,Liverpool,3,6,2,0,4,0,4
3,Liverpool,3,9,3,0,7,0,2
4,Liverpool,0,9,0,1,7,1,4
5,Liverpool,3,12,3,0,10,1,2
6,Liverpool,3,15,2,1,12,2,1
7,Liverpool,3,18,1,0,13,2,1
8,Liverpool,3,21,2,1,15,3,1
9,Liverpool,1,22,2,2,17,5,2
10,Liverpool,3,25,2,1,19,6,1
11,Liverpool,3,28,2,0,21,6,1
12,Liverpool,3,31,3,2,24,8,1
13,Liverpool,3,34,2,0,26,8,1
14,Liverpool,1,35,3,3,29,11,1
15,Liverpool,1,36,2,2,31,13,1
16,Liverpool,3,39,6,3,37,16,1
17,Liverpool,3,42,3,1,40,17,1
18,Liverpool,3,45,5,0,45,17,1
19,Liverpool,1,46,2,2,47,19,1
20,Liverpool,1,47,1,1,48,20,1
21,Liverpool,3,50,2,0,50,20,1
22,Liverpool,3,53,4,1,54,21,1
23,Liverpool,3,56,2,0,56,21,1
24,Liverpool,1,57,2,2,58,23,1
25,Liverpool,3,60,2,1,60,24,1
26,Liverpool,1,61,2,2,62,26,1
27,Liverpool,3,64,2,0,64,26,1
28,Liverpool,3,67,2,0,66,26,1
29,Liverpool,3,70,3,1,69,27,1
30,Liverpool,3,73,1,0,70,27,1
31,Liverpool,0,73,2,3,72,30,1
32,Liverpool,3,76,2,1,74,31,1
33,Liverpool,3,79,1,0,75,31,1
34,Liverpool,3,82,5,1,80,32,1
35,Liverpool,0,82,1,3,81,35,1
36,Liverpool,1,83,2,2,83,37,1
37,Liverpool,0,83,2,3,85,40,1
38,Liverpool,1,84,1,1,86,41,1
