Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Man City,3,3,2,0,2,0,4
2,Man City,3,6,4,1,6,1,1
3,Man City,3,9,3,1,9,2,1
4,Man City,3,12,2,1,11,3,1
5,Man City,1,13,2,2,13,5,1
6,Man City,1,14,1,1,14,6,2
7,Man City,3,17,3,2,17,8,2
8,Man City,3,20,2,1,19,9,2
9,Man City,3,23,1,0,20,9,1
10,Man City,0,23,1,2,21,11,2
11,Man City,0,23,1,2,22,13,2
12,Man City,0,23,0,4,22,17,2
13,Man City,0,23,0,2,22,19,5
14,Man City,3,26,3,0,25,19,4
15,Man City,1,27,2,2,27,21,4
16,Man City,0,27,1,2,28,23,5
17,Man City,0,27,1,2,29,25,7
18,Man City,1,28,1,1,30,26,7
19,Man City,3,31,2,0,32,26,6
20,Man City,3,34,4,1,36,27,6
21,Man City,1,35,2,2,38,29,6
22,Man City,3,38,6,0,44,29,5
23,Man City,3,41,3,1,47,30,4
24,Man City,0,41,1,5,48,35,5
25,Man City,3,44,4,0,52,35,4
26,Man City,0,44,0,2,52,37,4
27,Man City,3,47,1,0,53,37,4
28,Man City,0,47,0,1,53,38,5
29,Man City,1,48,2,2,55,40,6
30,Man City,3,51,2,0,57,40,6
31,Man City,1,52,0,0,57,40,6
32,Man City,3,55,5,2,62,42,5
33,Man City,3,58,2,0,64,42,5
34,Man City,3,61,2,1,66,43,4
35,Man City,3,64,1,0,67,43,3
36,Man City,1,65,0,0,67,43,4
37,Man City,3,68,3,1,70,44,3
38,Man City,3,71,2,0,72,44,3
