Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Man United,3,3,1,0,1,0,7
2,Man United,0,3,1,2,2,2,11
3,Man United,0,3,0,3,2,5,14
4,Man United,3,6,3,0,5,5,10
5,Man United,1,7,0,0,5,5,11
6,Man United,0,7,0,3,5,8,13
7,Man United,1,8,0,0,5,8,14
8,Man United,3,11,2,1,7,9,12
9,Man United,0,11,1,2,8,11,14
10,Man United,1,12,1,1,9,12,13
11,Man United,3,15,3,0,12,12,13
12,Man United,1,16,1,1,13,13,12
13,Man United,3,19,4,0,17,13,9
14,Man United,0,19,0,2,17,15,13
15,Man United,0,19,2,3,19,18,13
16,Man United,3,22,2,1,21,19,13
17,Man United,0,22,0,3,21,22,13
18,Man United,0,22,0,2,21,24,14
19,Man United,0,22,0,2,21,26,14
20,Man United,1,23,2,2,23,28,13
21,Man United,3,26,3,1,26,29,12
22,Man United,0,26,1,3,27,32,13
23,Man United,3,29,1,0,28,32,12
24,Man United,0,29,0,2,28,34,13
25,Man United,0,29,0,1,28,35,15
26,Man United,1,30,2,2,30,37,15
27,Man United,3,33,3,2,33,39,14
28,Man United,1,34,1,1,34,40,14
29,Man United,3,37,3,0,37,40,13
30,Man United,0,37,0,1,37,41,13
31,Man United,1,38,0,0,37,41,13
32,Man United,0,38,1,4,38,45,14
33,Man United,0,38,0,1,38,46,14
34,Man United,1,39,1,1,39,47,14
35,Man United,0,39,3,4,42,51,15
36,Man United,0,39,0,2,42,53,16
37,Man United,0,39,0,1,42,54,16
38,Man United,3,42,2,0,44,54,15
