Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Newcastle,3,3,1,0,1,0,8
2,Newcastle,1,4,1,1,2,1,6
3,Newcastle,3,7,2,1,4,2,5
4,Newcastle,3,10,2,1,6,3,3
5,Newcastle,0,10,1,3,7,6,6
6,Newcastle,1,11,1,1,8,7,7
7,Newcastle,1,12,0,0,8,7,7
8,Newcastle,0,12,0,1,8,8,9
9,Newcastle,0,12,1,2,9,10,12
10,Newcastle,3,15,1,0,10,10,11
11,Newcastle,3,18,3,1,13,11,8
12,Newcastle,0,18,0,2,13,13,10
13,Newcastle,1,19,1,1,14,14,11
14,Newcastle,1,20,3,3,17,17,12
15,Newcastle,0,20,2,4,19,21,12
16,Newcastle,3,23,4,0,23,21,12
17,Newcastle,3,26,4,0,27,21,8
18,Newcastle,3,29,3,0,30,21,5
19,Newcastle,3,32,2,0,32,21,5
20,Newcastle,3,35,2,1,34,22,5
21,Newcastle,3,38,3,0,37,22,4
22,Newcastle,0,38,1,4,38,26,6
23,Newcastle,3,41,3,1,41,27,5
24,Newcastle,0,41,1,2,42,29,6
25,Newcastle,0,41,0,4,42,33,7
26,Newcastle,3,44,4,3,46,36,5
27,Newcastle,0,44,0,2,46,38,6
28,Newcastle,3,47,1,0,47,38,6
29,Newcastle,3,50,2,1,49,39,4
30,Newcastle,3,53,3,0,52,39,4
31,Newcastle,3,56,4,1,56,40,4
32,Newcastle,3,59,5,0,61,40,3
33,Newcastle,0,59,1,4,62,44,4
34,Newcastle,3,62,3,0,65,44,3
35,Newcastle,1,63,1,1,66,45,4
36,Newcastle,3,66,2,0,68,45,3
37,Newcastle,0,66,0,1,68,46,4
38,Newcastle,0,66,0,1,68,47,5
