gw,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,1.24405,1.90915,0.0,0.0,0.967,d,1,-0.665,1.24405,1.90915,1
2,2.86475,0.214952,0.0,0.0,0.123,w,3,2.65,4.1088000000000005,2.1241019999999997,4
3,1.41069,0.937632,0.0,0.0,1.709,d,1,0.473,5.51949,3.0617339999999995,5
4,0.589532,1.17044,0.0,0.0,1.816,w,3,-0.581,6.109022,4.232174,8
5,1.36923,1.56836,0.0,0.0,1.51,d,1,-0.199,7.478252,5.800534,9
6,0.614351,1.43592,0.0,0.0,0.747,l,0,-0.822,8.092603,7.236454,9
7,1.66654,2.27752,0.0,0.0,1.751,d,1,-0.611,9.759143,9.513974000000001,10
8,1.88573,0.835001,0.0,0.0,2.083,w,3,1.051,11.644873,10.348975000000001,13
9,2.54488,0.832415,0.0,0.0,0.457,w,3,1.712,14.189753,11.18139,16
10,2.35011,0.132317,0.0,0.0,2.736,w,3,2.218,16.539863,11.313707,19
11,1.17852,1.86904,0.0,0.0,0.943,l,0,-0.691,17.718383,13.182747,19
12,0.403136,1.66016,0.0,0.0,2.29,l,0,-1.257,18.121519,14.842907,19
13,1.76587,0.462771,0.0,0.0,2.297,w,3,1.303,19.887389,15.305678,22
14,0.802155,3.20169,0.0,0.0,2.61,l,0,-2.4,20.689543999999998,18.507368,22
15,0.651217,1.4697,0.0,0.0,1.975,w,3,-0.818,21.340760999999997,19.977068,25
16,2.2861,0.389423,0.0,0.0,2.564,w,3,1.897,23.626860999999998,20.366491,28
17,0.964897,0.769004,0.0,0.0,1.17,w,3,0.196,24.591758,21.135495,31
18,1.30018,1.05758,0.0,0.0,1.539,w,3,0.243,25.891938,22.193075,34
19,2.02753,0.615191,0.0,0.0,0.497,w,3,1.412,27.919468,22.808266,37
20,2.57227,1.90463,0.0,0.0,1.045,w,3,0.668,30.491737999999998,24.712896,40
21,0.5292,2.72291,0.0,0.0,0.266,d,1,-2.194,31.020937999999997,27.435806,41
22,2.36419,1.25922,0.0,0.0,2.047,w,3,1.105,33.385127999999995,28.695026,44
23,0.996166,2.8254,0.0,0.0,2.399,l,0,-1.829,34.381294,31.520426,44
24,4.0677,0.756296,0.0,0.0,2.794,w,3,3.311,38.448994,32.276722,47
25,0.331301,2.20993,0.0,0.0,2.575,l,0,-1.879,38.780295,34.486652,47
26,2.38603,3.45858,0.0,0.0,1.928,l,0,-1.073,41.166325,37.945232,47
27,0.508611,1.31766,0.0,0.0,0.718,d,1,-0.809,41.674936,39.262891999999994,48
28,0.501476,0.721234,0.0,0.0,1.087,w,3,-0.22,42.176412,39.984125999999996,51
29,1.30722,0.520839,0.0,0.0,0.734,w,3,0.786,43.483632,40.504965,54
30,0.512063,1.86688,0.0,0.0,0.485,w,3,-1.355,43.995695,42.371845,57
31,0.96769,2.63349,0.0,0.0,2.343,l,0,-1.666,44.963384999999995,45.005335,57
32,0.423949,1.26036,0.0,0.0,0.672,l,0,-0.836,45.387333999999996,46.265695,57
33,0.557682,2.4024,0.0,0.0,2.5,w,3,-1.845,45.945015999999995,48.668095,60
34,0.670607,1.52054,0.0,0.0,0.749,l,0,-0.85,46.61562299999999,50.188635,60
35,0.63684,2.34037,0.0,0.0,2.429,d,1,-1.704,47.25246299999999,52.529005,61
36,1.76909,1.22949,0.0,0.0,1.735,d,1,0.54,49.02155299999999,53.758494999999996,62
37,2.14756,0.850457,0.0,0.0,0.602,w,3,1.297,51.16911299999999,54.608951999999995,65
38,1.58014,1.30874,0.0,0.0,1.559,l,0,0.271,52.74925299999999,55.917691999999995,65
