Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Southampton,0,0,0,1,0,1,16
2,Southampton,0,0,0,1,0,2,16
3,Southampton,0,0,1,3,1,5,19
4,Southampton,0,0,0,3,1,8,19
5,Southampton,1,1,1,1,2,9,18
6,Southampton,0,1,1,3,3,12,19
7,Southampton,0,1,1,3,4,15,19
8,Southampton,0,1,2,3,6,18,19
9,Southampton,0,1,0,1,6,19,20
10,Southampton,3,4,1,0,7,19,19
11,Southampton,0,4,0,2,7,21,20
12,Southampton,0,4,2,3,9,24,20
13,Southampton,1,5,1,1,10,25,20
14,Southampton,0,5,1,5,11,30,20
15,Southampton,0,5,0,1,11,31,20
16,Southampton,0,5,0,5,11,36,20
17,Southampton,1,6,0,0,11,36,20
18,Southampton,0,6,0,1,11,37,20
19,Southampton,0,6,1,2,12,39,20
20,Southampton,0,6,0,5,12,44,20
21,Southampton,0,6,1,3,13,47,20
22,Southampton,0,6,2,3,15,50,20
23,Southampton,0,6,1,3,16,53,20
24,Southampton,3,9,2,1,18,54,20
25,Southampton,0,9,1,3,19,57,20
26,Southampton,0,9,0,4,19,61,20
27,Southampton,0,9,0,4,19,65,20
28,Southampton,0,9,1,3,20,68,20
29,Southampton,0,9,1,2,21,70,20
30,Southampton,1,10,1,1,22,71,20
31,Southampton,0,10,1,3,23,74,20
32,Southampton,0,10,0,3,23,77,20
33,Southampton,1,11,1,1,24,78,20
34,Southampton,0,11,1,2,25,80,20
35,Southampton,0,11,0,2,25,82,20
36,Southampton,1,12,0,0,25,82,20
37,Southampton,0,12,0,2,25,84,20
38,Southampton,0,12,1,2,26,86,20
