gw,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,1.95483,0.433489,0.0,0.0,0.404,l,0,1.521,1.95483,0.433489,0
2,0.214952,2.86475,0.0,0.0,0.123,l,0,-2.65,2.169782,3.2982389999999997,0
3,1.64713,3.86281,0.0,0.0,2.422,l,0,-2.216,3.8169120000000003,7.161049,0
4,1.35593,3.02693,0.0,0.0,0.572,l,0,-1.671,5.172842,10.187979,0
5,2.89813,1.645,0.0,0.0,2.07,d,1,1.253,8.070972000000001,11.832979,1
6,0.696068,1.44215,0.0,0.0,1.921,l,0,-0.746,8.767040000000001,13.275129,1
7,1.27313,3.25165,0.0,0.0,2.402,l,0,-1.979,10.040170000000002,16.526779,1
8,2.42776,2.83826,0.0,0.0,1.204,l,0,-0.41,12.467930000000003,19.365039000000003,1
9,0.369989,3.16286,0.0,0.0,2.785,l,0,-2.793,12.837919000000003,22.527899,1
10,0.540345,1.78581,0.0,0.0,0.535,w,3,-1.245,13.378264000000003,24.313709000000003,4
11,0.792655,0.912781,0.0,0.0,1.431,l,0,-0.12,14.170919000000003,25.226490000000002,4
12,1.53985,3.18835,0.0,0.0,0.609,l,0,-1.648,15.710769000000003,28.41484,4
13,0.934969,1.86986,0.0,0.0,2.002,d,1,-0.935,16.645738,30.2847,5
14,1.91014,5.8331,0.0,0.0,0.2,l,0,-3.923,18.555878,36.1178,5
15,0.385832,2.51338,0.0,0.0,2.635,l,0,-2.128,18.94171,38.63118,5
16,1.27356,3.89322,0.0,0.0,0.321,l,0,-2.62,20.21527,42.5244,5
17,0.280031,1.25255,0.0,0.0,2.156,d,1,-0.973,20.495301,43.77695,6
18,2.19833,1.90111,0.0,0.0,1.568,l,0,0.297,22.693631,45.67806,6
19,1.21853,3.05417,0.0,0.0,2.362,l,0,-1.836,23.912161,48.73223,6
20,0.249614,5.54874,0.0,0.0,0.014,l,0,-5.299,24.161775000000002,54.28097,6
21,1.36705,3.10847,0.0,0.0,2.305,l,0,-1.741,25.528825,57.38944,6
22,1.25922,2.36419,0.0,0.0,2.047,l,0,-1.105,26.788045,59.75363,6
23,0.825621,3.08319,0.0,0.0,0.318,l,0,-2.258,27.613666000000002,62.83682,6
24,1.17566,1.94845,0.0,0.0,1.88,w,3,-0.773,28.789326000000003,64.78527,9
25,0.974418,2.08722,0.0,0.0,0.705,l,0,-1.113,29.763744000000003,66.87249,9
26,0.154147,5.12018,0.0,0.0,0.014,l,0,-4.966,29.917891,71.99267,9
27,0.845039,2.98234,0.0,0.0,2.529,l,0,-2.137,30.76293,74.97501,9
28,0.511566,4.98996,0.0,0.0,2.93,l,0,-4.478,31.274496,79.96497,9
29,1.2821,0.540718,0.0,0.0,1.941,l,0,0.741,32.556596,80.50568799999999,9
30,0.687304,0.93776,0.0,0.0,1.114,d,1,-0.25,33.2439,81.44344799999999,10
31,0.780439,2.648,0.0,0.0,2.456,l,0,-1.868,34.024339,84.09144799999999,10
32,0.412256,2.99927,0.0,0.0,0.174,l,0,-2.587,34.436595,87.09071799999998,10
33,0.922877,0.98423,0.0,0.0,1.39,d,1,-0.061,35.359472,88.07494799999998,11
34,0.935581,1.9956,0.0,0.0,0.719,l,0,-1.06,36.295052999999996,90.07054799999997,11
35,0.550774,1.60739,0.0,0.0,2.142,l,0,-1.057,36.84582699999999,91.67793799999997,11
36,0.136995,1.58463,0.0,0.0,0.307,d,1,-1.448,36.98282199999999,93.26256799999997,12
37,1.05025,2.67793,0.0,0.0,2.313,l,0,-1.628,38.03307199999999,95.94049799999998,12
38,0.598144,2.40711,0.0,0.0,0.372,l,0,-1.809,38.63121599999999,98.34760799999998,12
