Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Tottenham,1,1,1,1,1,1,12
2,Tottenham,3,4,4,0,5,1,5
3,Tottenham,0,4,1,2,6,3,10
4,Tottenham,0,4,0,1,6,4,13
5,Tottenham,3,7,3,1,9,5,10
6,Tottenham,3,10,3,0,12,5,8
7,Tottenham,0,10,2,3,14,8,9
8,Tottenham,3,13,4,1,18,9,7
9,Tottenham,0,13,0,1,18,10,8
10,Tottenham,3,16,4,1,22,11,7
11,Tottenham,0,16,1,2,23,13,10
12,Tottenham,3,19,4,0,27,13,6
13,Tottenham,1,20,1,1,28,14,7
14,Tottenham,0,20,0,1,28,15,10
15,Tottenham,0,20,3,4,31,19,11
16,Tottenham,3,23,5,0,36,19,10
17,Tottenham,0,23,3,6,39,25,11
18,Tottenham,0,23,0,1,39,26,12
19,Tottenham,1,24,2,2,41,28,11
20,Tottenham,0,24,1,2,42,30,12
21,Tottenham,0,24,1,2,43,32,14
22,Tottenham,0,24,2,3,45,35,15
23,Tottenham,0,24,1,2,46,37,16
24,Tottenham,3,27,2,0,48,37,14
25,Tottenham,3,30,1,0,49,37,12
26,Tottenham,3,33,4,1,53,38,12
27,Tottenham,0,33,0,1,53,39,13
28,Tottenham,1,34,2,2,55,41,13
29,Tottenham,0,34,0,2,55,43,14
30,Tottenham,0,34,0,1,55,44,14
31,Tottenham,3,37,3,1,58,45,14
32,Tottenham,0,37,2,4,60,49,15
33,Tottenham,0,37,1,2,61,51,16
34,Tottenham,0,37,1,5,62,56,16
35,Tottenham,1,38,1,1,63,57,16
36,Tottenham,0,38,0,2,63,59,17
37,Tottenham,0,38,0,2,63,61,17
38,Tottenham,0,38,1,4,64,65,17
