gw,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,1.40775,1.02614,0.0,0.0,1.092,d,1,0.382,1.40775,1.02614,1
2,2.61143,0.648869,0.0,0.0,2.518,w,3,1.963,4.01918,1.6750090000000002,4
3,1.63304,1.58694,0.0,0.0,1.354,l,0,0.046,5.652220000000001,3.2619490000000004,4
4,0.792595,1.1209,0.0,0.0,1.083,l,0,-0.328,6.444815000000001,4.382849,4
5,3.89481,0.893565,0.0,0.0,2.723,w,3,3.001,10.339625000000002,5.276414,7
6,5.4072,0.600721,0.0,0.0,0.041,w,3,4.806,15.746825000000001,5.877135,10
7,1.09279,1.97217,0.0,0.0,1.95,l,0,-0.879,16.839615000000002,7.849305,10
8,1.44052,0.858803,0.0,0.0,1.79,w,3,0.582,18.280135,8.708108,13
9,1.0192,0.978611,0.0,0.0,1.314,l,0,0.041,19.299335000000003,9.686719,13
10,2.09751,2.48749,0.0,0.0,1.194,w,3,-0.39,21.396845000000003,12.174209000000001,16
11,1.75088,2.18392,0.0,0.0,1.147,l,0,-0.433,23.147725,14.358129000000002,16
12,3.30449,2.15899,0.0,0.0,0.867,w,3,1.145,26.452215000000002,16.517119,19
13,1.01086,1.57274,0.0,0.0,0.983,d,1,-0.562,27.463075000000003,18.089859,20
14,0.623934,3.27716,0.0,0.0,2.705,l,0,-2.653,28.087009000000002,21.367019,20
15,3.25488,2.57326,0.0,0.0,1.745,l,0,0.682,31.341889000000002,23.940279,20
16,3.89322,1.27356,0.0,0.0,0.321,w,3,2.62,35.235109,25.213839,23
17,1.20245,5.20214,0.0,0.0,0.131,l,0,-4.0,36.437559,30.415979,23
18,1.05758,1.30018,0.0,0.0,1.539,l,0,-0.243,37.495139,31.716159,23
19,2.28433,0.640697,0.0,0.0,2.404,d,1,1.644,39.779469,32.356856,24
20,1.00333,2.42963,0.0,0.0,0.589,l,0,-1.426,40.782799,34.786486000000004,24
21,0.777071,2.25501,0.0,0.0,2.304,l,0,-1.478,41.55987,37.041496,24
22,1.35719,2.56089,0.0,0.0,2.082,l,0,-1.204,42.91706,39.602386,24
23,1.27483,1.40469,0.0,0.0,1.281,l,0,-0.13,44.19189,41.007076000000005,24
24,0.945355,1.66475,0.0,0.0,1.872,w,3,-0.719,45.137245,42.671826,27
25,1.97109,1.42652,0.0,0.0,1.727,w,3,0.545,47.108335,44.09834600000001,30
26,1.58741,1.15389,0.0,0.0,1.08,w,3,0.434,48.695744999999995,45.252236,33
27,1.28426,2.38641,0.0,0.0,0.769,l,0,-1.102,49.980005,47.638646,33
28,1.35053,2.22536,0.0,0.0,0.88,d,1,-0.875,51.330535,49.864006,34
29,1.40865,1.03966,0.0,0.0,1.102,l,0,0.369,52.739185,50.903666,34
30,1.40274,1.30443,0.0,0.0,1.303,l,0,0.098,54.141925,52.208096,34
31,2.648,0.780439,0.0,0.0,2.456,w,3,1.868,56.789925000000004,52.988535,37
32,1.62887,2.22977,0.0,0.0,1.748,l,0,-0.601,58.418795,55.218305,37
33,2.4024,0.557682,0.0,0.0,2.5,l,0,1.845,60.821195,55.775987,37
34,0.512812,2.51104,0.0,0.0,2.563,l,0,-1.998,61.334007,58.287027,37
35,0.847022,1.15166,0.0,0.0,1.586,d,1,-0.305,62.181029,59.438687,38
36,0.806792,3.98546,0.0,0.0,0.168,l,0,-3.179,62.987821000000004,63.424147000000005,38
37,0.523016,1.69061,0.0,0.0,2.211,l,0,-1.168,63.510837,65.11475700000001,38
38,1.85265,3.11624,0.0,0.0,0.788,l,0,-1.264,65.363487,68.23099700000002,38
