Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,West Ham,0,0,1,2,1,2,14
2,West Ham,3,3,2,0,3,2,9
3,West Ham,0,3,1,3,4,5,13
4,West Ham,1,4,1,1,5,6,14
5,West Ham,0,4,0,3,5,9,14
6,West Ham,1,5,1,1,6,10,14
7,West Ham,3,8,4,1,10,11,12
8,West Ham,0,8,1,4,11,15,15
9,West Ham,3,11,2,1,13,16,13
10,West Ham,0,11,0,3,13,19,14
11,West Ham,1,12,0,0,13,19,14
12,West Ham,3,15,2,0,15,19,14
13,West Ham,0,15,2,5,17,24,14
14,West Ham,0,15,1,3,18,27,14
15,West Ham,3,18,2,1,20,28,14
16,West Ham,1,19,1,1,21,29,14
17,West Ham,1,20,1,1,22,30,14
18,West Ham,3,23,1,0,23,30,13
19,West Ham,0,23,0,5,23,35,13
20,West Ham,0,23,1,4,24,39,14
21,West Ham,3,26,3,2,27,41,13
22,West Ham,0,26,0,2,27,43,14
23,West Ham,1,27,1,1,28,44,14
24,West Ham,0,27,1,2,29,46,16
25,West Ham,0,27,0,1,29,47,16
26,West Ham,3,30,1,0,30,47,16
27,West Ham,3,33,2,0,32,47,15
28,West Ham,0,33,0,1,32,48,16
29,West Ham,1,34,1,1,33,49,16
30,West Ham,0,34,0,1,33,50,16
31,West Ham,1,35,2,2,35,52,16
32,West Ham,0,35,1,2,36,54,17
33,West Ham,1,36,1,1,37,55,17
34,West Ham,0,36,2,3,39,58,17
35,West Ham,1,37,1,1,40,59,17
36,West Ham,3,40,2,0,42,59,15
37,West Ham,0,40,1,2,43,61,15
38,West Ham,3,43,3,1,46,62,14
