gw,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,2.8047,2.6703,0.0,0.0,1.48,l,0,0.134,2.8047,2.6703,0
2,1.53421,1.3761,0.0,0.0,1.271,w,3,0.158,4.33891,4.0464,3
3,0.947201,3.19297,0.0,0.0,0.344,l,0,-2.246,5.286111,7.23937,3
4,0.682719,2.88601,0.0,0.0,2.583,d,1,-2.203,5.96883,10.12538,4
5,0.758267,2.39727,0.0,0.0,0.461,l,0,-1.639,6.727097,12.522649999999999,4
6,0.878617,0.370222,0.0,0.0,0.836,d,1,0.508,7.605714,12.892871999999999,5
7,4.39402,1.18463,0.0,0.0,2.717,w,3,3.209,11.999734,14.077501999999999,8
8,0.858803,1.44052,0.0,0.0,1.79,l,0,-0.582,12.858537,15.518021999999998,8
9,2.99312,2.62598,0.0,0.0,1.595,w,3,0.367,15.851657,18.144002,11
10,0.132317,2.35011,0.0,0.0,2.736,l,0,-2.218,15.983974,20.494112,11
11,1.1237,0.865983,0.0,0.0,1.549,d,1,0.258,17.107674,21.360095,12
12,0.942824,1.49781,0.0,0.0,1.765,w,3,-0.555,18.050498,22.857905000000002,15
13,1.23539,3.99935,0.0,0.0,0.289,l,0,-2.764,19.285888,26.857255000000002,15
14,2.87716,2.78061,0.0,0.0,1.367,l,0,0.097,22.163048,29.637865,15
15,1.19808,1.47567,0.0,0.0,1.18,w,3,-0.278,23.361128,31.113535000000002,18
16,1.81827,2.04842,0.0,0.0,1.53,d,1,-0.23,25.179398,33.161955000000006,19
17,1.22937,1.34379,0.0,0.0,1.287,d,1,-0.114,26.408768,34.505745000000005,20
18,1.90111,2.19833,0.0,0.0,1.568,w,3,-0.297,28.309877999999998,36.704075,23
19,0.518279,3.29868,0.0,0.0,0.17,l,0,-2.78,28.828156999999997,40.002755,23
20,1.53286,1.97986,0.0,0.0,1.664,l,0,-0.447,30.361016999999997,41.982615,23
21,0.937322,2.83581,0.0,0.0,0.427,w,3,-1.898,31.298339,44.818425000000005,26
22,0.221062,1.62561,0.0,0.0,0.358,l,0,-1.405,31.519401,46.44403500000001,26
23,1.67886,0.907851,0.0,0.0,0.85,d,1,0.771,33.198260999999995,47.35188600000001,27
24,1.1868,1.39066,0.0,0.0,1.512,l,0,-0.204,34.38506099999999,48.742546000000004,27
25,0.673466,1.96499,0.0,0.0,0.558,l,0,-1.292,35.05852699999999,50.707536000000005,27
26,1.02684,1.37264,0.0,0.0,1.615,w,3,-0.346,36.08536699999999,52.080176,30
27,1.70437,0.289578,0.0,0.0,2.404,w,3,1.415,37.78973699999999,52.369754,33
28,0.823986,1.62976,0.0,0.0,0.812,l,0,-0.806,38.613722999999986,53.999514,33
29,0.516029,1.189,0.0,0.0,1.895,d,1,-0.673,39.12975199999999,55.188514,34
30,1.73057,1.10359,0.0,0.0,0.964,l,0,0.627,40.86032199999999,56.292103999999995,34
31,0.907832,1.94869,0.0,0.0,0.721,d,1,-1.041,41.76815399999999,58.240793999999994,35
32,1.46598,1.42902,0.0,0.0,1.351,l,0,0.037,43.23413399999999,59.669813999999995,35
33,0.98423,0.922877,0.0,0.0,1.39,d,1,0.061,44.21836399999999,60.592690999999995,36
34,1.24134,1.29433,0.0,0.0,1.404,l,0,-0.053,45.45970399999999,61.887021,36
35,1.15166,0.847022,0.0,0.0,1.586,d,1,0.305,46.61136399999999,62.734043,37
36,2.15985,2.31287,0.0,0.0,1.487,w,3,-0.153,48.771213999999986,65.046913,40
37,0.850457,2.14756,0.0,0.0,0.602,l,0,-1.297,49.621670999999985,67.194473,40
38,0.967379,0.893095,0.0,0.0,1.279,w,3,0.074,50.589049999999986,68.087568,43
