Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Wolves,0,0,0,2,0,2,19
2,Wolves,0,0,2,6,2,8,19
3,Wolves,1,1,1,1,3,9,18
4,Wolves,0,1,1,2,4,11,18
5,Wolves,0,1,1,3,5,14,20
6,Wolves,0,1,1,2,6,16,20
7,Wolves,0,1,3,5,9,21,20
8,Wolves,0,1,1,2,10,23,20
9,Wolves,1,2,2,2,12,25,19
10,Wolves,1,3,2,2,14,27,20
11,Wolves,3,6,2,0,16,27,19
12,Wolves,3,9,4,1,20,28,17
13,Wolves,0,9,2,4,22,32,18
14,Wolves,0,9,0,4,22,36,19
15,Wolves,0,9,1,2,23,38,19
16,Wolves,0,9,1,2,24,40,19
17,Wolves,3,12,3,0,27,40,18
18,Wolves,3,15,2,0,29,40,17
19,Wolves,1,16,2,2,31,42,17
20,Wolves,0,16,0,3,31,45,17
21,Wolves,0,16,0,3,31,48,17
22,Wolves,0,16,1,3,32,51,17
23,Wolves,0,16,0,1,32,52,18
24,Wolves,3,19,2,0,34,52,17
25,Wolves,0,19,1,2,35,54,17
26,Wolves,3,22,1,0,36,54,17
27,Wolves,0,22,1,2,37,56,17
28,Wolves,1,23,1,1,38,57,17
29,Wolves,3,26,2,1,40,58,17
30,Wolves,3,29,1,0,41,58,17
31,Wolves,3,32,2,1,43,59,17
32,Wolves,3,35,4,2,47,61,16
33,Wolves,3,38,1,0,48,61,15
34,Wolves,3,41,3,0,51,61,13
35,Wolves,0,41,0,1,51,62,13
36,Wolves,0,41,0,2,51,64,14
37,Wolves,0,41,2,4,53,68,14
38,Wolves,1,42,1,1,54,69,16
