Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,Arsenal,3,3,2,0,2,0,2,1.6283,0.575835,0.0,0.0,2.134,w,3,1.052,1.6283,0.575835,3
2,Arsenal,3,6,2,0,4,0,3,1.41399,1.31664,0.0,0.0,1.305,w,3,0.097,3.0422900000000004,1.892475,6
3,Arsenal,1,7,1,1,5,1,4,2.41798,1.81748,0.0,0.0,1.738,d,1,0.601,5.46027,3.709955,7
4,Arsenal,3,10,1,0,6,1,2,1.1209,0.792595,0.0,0.0,1.083,w,3,0.328,6.58117,4.50255,10
5,Arsenal,1,11,2,2,8,3,4,1.28411,2.75588,0.0,0.0,2.211,d,1,-1.472,7.86528,7.258430000000001,11
6,Arsenal,3,14,4,2,12,5,3,6.05305,0.337909,0.0,0.0,2.976,w,3,5.715,13.91833,7.596339,14
7,Arsenal,3,17,3,1,15,6,3,3.25165,1.27313,0.0,0.0,2.402,w,3,1.979,17.169980000000002,8.869469,17
8,Arsenal,0,17,0,2,15,8,3,0.740758,2.18419,0.0,0.0,2.297,l,0,-1.443,17.910738000000002,11.053659,17
9,Arsenal,1,18,2,2,17,10,3,1.0883,1.35346,0.0,0.0,1.174,d,1,-0.265,18.999038,12.407119,18
10,Arsenal,0,18,0,1,17,11,5,0.911305,0.859715,0.0,0.0,1.291,l,0,0.052,19.910343,13.266834,18
11,Arsenal,1,19,1,1,18,12,4,1.9605,1.24067,0.0,0.0,0.938,d,1,0.72,21.870843,14.507504,19
12,Arsenal,3,22,3,0,21,12,4,1.66016,0.403136,0.0,0.0,2.29,w,3,1.257,23.531003,14.91064,22
13,Arsenal,3,25,5,2,26,14,2,3.99935,1.23539,0.0,0.0,0.289,w,3,2.764,27.530353,16.14603,25
14,Arsenal,3,28,2,0,28,14,3,2.96684,0.256083,0.0,0.0,2.798,w,3,2.711,30.497193000000003,16.402113,28
15,Arsenal,1,29,1,1,29,15,3,2.4333,0.150988,0.0,0.0,0.15,d,1,2.282,32.930493000000006,16.553101,29
16,Arsenal,1,30,0,0,29,15,3,1.30865,0.132166,0.0,0.0,2.332,d,1,1.176,34.239143000000006,16.685267000000003,30
17,Arsenal,3,33,5,1,34,16,3,3.05434,1.6052,0.0,0.0,0.686,w,3,1.449,37.29348300000001,18.290467000000003,33
18,Arsenal,3,36,1,0,35,16,2,2.16462,0.0783327,0.0,0.0,2.722,w,3,2.086,39.45810300000001,18.368799700000004,36
19,Arsenal,3,39,3,1,38,17,2,1.99848,0.272604,0.0,0.0,0.292,w,3,1.726,41.45658300000001,18.641403700000005,39
20,Arsenal,1,40,1,1,39,18,2,1.81142,1.76513,0.0,0.0,1.362,d,1,0.046,43.26800300000001,20.406533700000004,40
21,Arsenal,3,43,2,1,41,19,2,2.25501,0.777071,0.0,0.0,2.304,w,3,1.478,45.523013000000006,21.183604700000004,43
22,Arsenal,1,44,2,2,43,21,2,1.64458,1.20602,0.0,0.0,1.672,d,1,0.439,47.167593,22.3896247,44
23,Arsenal,3,47,1,0,44,21,2,0.887358,0.514724,0.0,0.0,0.981,w,3,0.373,48.054951,22.904348700000003,47
24,Arsenal,3,50,5,1,49,22,2,1.53202,0.743191,0.0,0.0,1.942,w,3,0.789,49.586971000000005,23.647539700000003,50
25,Arsenal,3,53,2,0,51,22,2,1.75,0.233209,0.0,0.0,0.331,w,3,1.517,51.336971000000005,23.8807487,53
26,Arsenal,0,53,0,1,51,23,2,1.37264,1.02684,0.0,0.0,1.615,l,0,0.346,52.709611,24.9075887,53
27,Arsenal,1,54,0,0,51,23,2,1.31766,0.508611,0.0,0.0,0.718,d,1,0.809,54.027271,25.4161997,54
28,Arsenal,1,55,1,1,52,24,2,1.82996,1.31107,0.0,0.0,1.054,d,1,0.519,55.857231,26.7272697,55
29,Arsenal,3,58,1,0,53,24,2,0.695725,0.286036,0.0,0.0,1.685,w,3,0.41,56.552956,27.0133057,58
30,Arsenal,3,61,2,1,55,25,2,2.30189,1.44206,0.0,0.0,1.902,w,3,0.86,58.854846,28.4553657,61
31,Arsenal,1,62,1,1,56,26,2,1.4031,1.22875,0.0,0.0,1.248,d,1,0.174,60.257946,29.684115700000003,62
32,Arsenal,1,63,1,1,57,27,2,0.767369,0.588583,0.0,0.0,1.469,d,1,0.179,61.025315000000006,30.272698700000003,63
33,Arsenal,3,66,4,0,61,27,2,2.81362,0.192879,0.0,0.0,0.121,w,3,2.621,63.838935000000006,30.465577700000004,66
34,Arsenal,1,67,2,2,63,29,2,1.92149,2.50515,0.0,0.0,1.086,d,1,-0.584,65.76042500000001,32.970727700000005,67
35,Arsenal,0,67,1,2,64,31,2,2.05484,1.41783,0.0,0.0,1.781,l,0,0.637,67.81526500000001,34.38855770000001,67
36,Arsenal,1,68,2,2,66,33,2,2.18795,2.74682,0.0,0.0,1.701,d,1,-0.559,70.00321500000001,37.13537770000001,68
37,Arsenal,3,71,1,0,67,33,2,1.15958,2.24634,0.0,0.0,0.753,w,3,-1.087,71.16279500000002,39.38171770000001,71
38,Arsenal,3,74,2,1,69,34,2,2.40711,0.598144,0.0,0.0,0.372,w,3,1.809,73.56990500000002,39.97986170000001,74
