Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,Bournemouth,1,1,1,1,1,1,9,1.90915,1.24405,0.0,0.0,0.967,d,1,0.665,1.90915,1.24405,1
2,Bournemouth,1,2,1,1,2,2,14,2.53513,1.89287,0.0,0.0,1.756,d,1,0.642,4.44428,3.13692,2
3,Bournemouth,3,5,3,2,5,4,8,2.95688,2.55629,0.0,0.0,1.215,w,3,0.401,7.40116,5.6932100000000005,5
4,Bournemouth,0,5,0,1,5,5,11,1.53731,0.932726,0.0,0.0,1.799,l,0,0.605,8.93847,6.625936,5
5,Bournemouth,0,5,0,3,5,8,13,1.46979,2.43731,0.0,0.0,1.955,l,0,-0.968,10.40826,9.063246,5
6,Bournemouth,3,8,3,1,8,9,11,1.44215,0.696068,0.0,0.0,1.921,w,3,0.746,11.85041,9.759314,8
7,Bournemouth,0,8,0,1,8,10,13,1.94963,0.912063,0.0,0.0,0.723,l,0,1.038,13.80004,10.671377,8
8,Bournemouth,3,11,2,0,10,10,11,2.18419,0.740758,0.0,0.0,2.297,w,3,1.443,15.98423,11.412135,11
9,Bournemouth,1,12,1,1,11,11,11,0.328651,1.974,0.0,0.0,2.491,d,1,-1.645,16.312881,13.386135,12
10,Bournemouth,3,15,2,1,13,12,10,2.4493,2.3527,0.0,0.0,1.458,w,3,0.097,18.762181,15.738835,15
11,Bournemouth,0,15,2,3,15,15,12,2.49234,1.56474,0.0,0.0,0.887,l,0,0.928,21.254521,17.303575,15
12,Bournemouth,0,15,1,2,16,17,13,1.91157,1.23059,0.0,0.0,1.821,l,0,0.681,23.166091,18.534165,15
13,Bournemouth,3,18,4,2,20,19,13,3.07901,0.866034,0.0,0.0,0.335,w,3,2.213,26.245101,19.400199,18
14,Bournemouth,3,21,1,0,21,19,9,3.27716,0.623934,0.0,0.0,2.705,w,3,2.653,29.522261,20.024133,21
15,Bournemouth,3,24,2,1,23,20,8,3.49127,1.5668,0.0,0.0,0.529,w,3,1.924,33.013531,21.590933,24
16,Bournemouth,1,25,1,1,24,21,6,2.04842,1.81827,0.0,0.0,1.53,d,1,0.23,35.061951,23.409203,25
17,Bournemouth,3,28,3,0,27,21,5,1.82831,2.28533,0.0,0.0,1.66,w,3,-0.457,36.890261,25.694533,28
18,Bournemouth,1,29,0,0,27,21,6,1.20189,0.500066,0.0,0.0,1.918,d,1,0.702,38.092151,26.194599,29
19,Bournemouth,1,30,2,2,29,23,7,1.70692,0.961566,0.0,0.0,0.874,d,1,0.745,39.799071,27.156165,30
20,Bournemouth,3,33,1,0,30,23,7,2.61852,0.561015,0.0,0.0,2.569,w,3,2.058,42.417591,27.717180000000003,33
21,Bournemouth,1,34,2,2,32,25,8,1.14845,2.53808,0.0,0.0,2.197,d,1,-1.39,43.566041,30.255260000000003,34
22,Bournemouth,3,37,4,1,36,26,7,2.70174,0.837801,0.0,0.0,0.415,w,3,1.864,46.267781,31.093061,37
23,Bournemouth,3,40,5,0,41,26,7,2.8254,0.996166,0.0,0.0,2.399,w,3,1.829,49.093181,32.089227,40
24,Bournemouth,0,40,0,2,41,28,7,1.65273,2.7219,0.0,0.0,0.839,l,0,-1.069,50.745911,34.811127,40
25,Bournemouth,3,43,3,1,44,29,5,2.08722,0.974418,0.0,0.0,0.705,w,3,1.113,52.833131,35.785545,43
26,Bournemouth,0,43,0,1,44,30,6,0.629691,2.10124,0.0,0.0,0.481,l,0,-1.472,53.462822,37.886785,43
27,Bournemouth,0,43,1,2,45,32,7,1.70169,2.57927,0.0,0.0,1.889,l,0,-0.878,55.164512,40.466055,43
28,Bournemouth,1,44,2,2,47,34,8,2.22536,1.35053,0.0,0.0,0.88,d,1,0.875,57.389872,41.816585,44
29,Bournemouth,0,44,1,2,48,36,10,2.02714,1.60321,0.0,0.0,1.648,l,0,0.424,59.41701200000001,43.41979499999999,44
30,Bournemouth,0,44,1,2,49,38,10,1.99637,1.41263,0.0,0.0,1.751,l,0,0.584,61.413382000000006,44.83242499999999,44
31,Bournemouth,1,45,2,2,51,40,10,1.94869,0.907832,0.0,0.0,0.721,d,1,1.041,63.362072000000005,45.74025699999999,45
32,Bournemouth,3,48,1,0,52,40,8,1.8577,1.07203,0.0,0.0,1.898,w,3,0.786,65.219772,46.81228699999999,48
33,Bournemouth,1,49,0,0,52,40,8,0.664093,0.337818,0.0,0.0,0.946,d,1,0.326,65.883865,47.15010499999999,49
34,Bournemouth,1,50,1,1,53,41,10,0.60995,1.91039,0.0,0.0,0.536,d,1,-1.3,66.493815,49.06049499999999,50
35,Bournemouth,3,53,2,1,55,42,8,1.41783,2.05484,0.0,0.0,1.781,w,3,-0.637,67.911645,51.11533499999999,53
36,Bournemouth,0,53,0,1,55,43,10,1.02272,1.12376,0.0,0.0,1.275,l,0,-0.101,68.934365,52.23909499999999,53
37,Bournemouth,0,53,1,3,56,46,11,0.962014,1.59779,0.0,0.0,1.817,l,0,-0.636,69.896379,53.83688499999999,53
38,Bournemouth,3,56,2,0,58,46,9,2.72449,0.156702,0.0,0.0,2.8,w,3,2.568,72.620869,53.99358699999999,56
