Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,Chelsea,0,0,0,2,0,2,17,1.06123,1.18038,0.0,0.0,1.267,l,0,-0.119,1.06123,1.18038,0
2,Chelsea,3,3,6,2,6,4,8,2.02935,2.4181,0.0,0.0,1.617,w,3,-0.389,3.09058,3.59848,3
3,Chelsea,1,4,1,1,7,5,11,2.97743,0.459708,0.0,0.0,2.712,d,1,2.518,6.06801,4.058188,4
4,Chelsea,3,7,1,0,8,5,8,0.932726,1.53731,0.0,0.0,1.799,w,3,-0.605,7.000736,5.595497999999999,7
5,Chelsea,3,10,3,0,11,5,5,2.39727,0.758267,0.0,0.0,0.461,w,3,1.639,9.398006,6.353764999999999,10
6,Chelsea,3,13,4,2,15,7,4,3.65839,1.20712,0.0,0.0,2.552,w,3,2.451,13.056396,7.560884999999999,13
7,Chelsea,1,14,1,1,16,8,4,2.27752,1.66654,0.0,0.0,1.751,d,1,0.611,15.333916,9.227424999999998,14
8,Chelsea,0,14,1,2,17,10,6,1.33904,2.22517,0.0,0.0,1.926,l,0,-0.886,16.672956,11.452595,14
9,Chelsea,3,17,2,1,19,11,5,1.61794,1.74225,0.0,0.0,1.308,w,3,-0.124,18.290896,13.194845,17
10,Chelsea,1,18,1,1,20,12,4,1.21071,2.1605,0.0,0.0,1.974,d,1,-0.95,19.501606,15.355345,18
11,Chelsea,1,19,1,1,21,13,3,1.24067,1.9605,0.0,0.0,0.938,d,1,-0.72,20.742276,17.315845,19
12,Chelsea,3,22,2,1,23,14,3,2.81658,0.967987,0.0,0.0,0.447,w,3,1.849,23.558856,18.283832,22
13,Chelsea,3,25,3,0,26,14,3,1.94939,0.875443,0.0,0.0,2.088,w,3,1.074,25.508246,19.159275,25
14,Chelsea,3,28,5,1,31,15,2,5.8331,1.91014,0.0,0.0,0.2,w,3,3.923,31.341346,21.069415,28
15,Chelsea,3,31,4,3,35,18,2,2.57326,3.25488,0.0,0.0,1.745,w,3,-0.682,33.914606,24.324295,31
16,Chelsea,3,34,2,1,37,19,2,2.59146,1.65861,0.0,0.0,1.92,w,3,0.933,36.506066,25.982905,34
17,Chelsea,1,35,0,0,37,19,2,1.51591,1.07081,0.0,0.0,1.061,d,1,0.445,38.021976,27.053715,35
18,Chelsea,0,35,1,2,38,21,3,1.55626,1.77929,0.0,0.0,1.246,l,0,-0.223,39.578236,28.833005,35
19,Chelsea,0,35,0,2,38,23,4,1.60622,1.50093,0.0,0.0,1.313,l,0,0.105,41.184456,30.333935,35
20,Chelsea,1,36,1,1,39,24,4,1.51541,1.2766,0.0,0.0,1.212,d,1,0.239,42.699866,31.610535,36
21,Chelsea,1,37,2,2,41,26,5,2.53808,1.14845,0.0,0.0,2.197,d,1,1.39,45.237946,32.758985,37
22,Chelsea,3,40,3,1,44,27,4,3.14882,1.06726,0.0,0.0,2.47,w,3,2.082,48.386766,33.82624499999999,40
23,Chelsea,0,40,1,3,45,30,6,1.49843,2.23213,0.0,0.0,1.83,l,0,-0.734,49.885196,36.05837499999999,40
24,Chelsea,3,43,2,1,47,31,4,1.39066,1.1868,0.0,0.0,1.512,w,3,0.204,51.275856,37.24517499999999,43
25,Chelsea,0,43,0,3,47,34,6,0.649788,2.06892,0.0,0.0,2.306,l,0,-1.419,51.925644,39.31409499999999,43
26,Chelsea,0,43,1,2,48,36,7,2.17418,2.69413,0.0,0.0,1.682,l,0,-0.52,54.099824,42.00822499999999,43
27,Chelsea,3,46,4,0,52,36,5,2.98234,0.845039,0.0,0.0,2.529,w,3,2.137,57.082164,42.85326399999999,46
28,Chelsea,3,49,1,0,53,36,4,1.76844,0.108487,0.0,0.0,2.575,w,3,1.66,58.850604,42.96175099999999,49
29,Chelsea,0,49,0,1,53,37,5,0.286036,0.695725,0.0,0.0,1.685,l,0,-0.41,59.13664,43.65747599999999,49
30,Chelsea,3,52,1,0,54,37,5,1.30443,1.40274,0.0,0.0,1.303,w,3,-0.098,60.44107,45.06021599999999,52
31,Chelsea,1,53,0,0,54,37,5,1.47829,1.36123,0.0,0.0,1.296,d,1,0.117,61.91936,46.42144599999999,53
32,Chelsea,1,54,2,2,56,39,6,2.90758,1.60301,0.0,0.0,2.098,d,1,1.305,64.82694,48.02445599999999,54
33,Chelsea,3,57,2,1,58,40,6,0.75172,0.306122,0.0,0.0,0.847,w,3,0.446,65.57866,48.33057799999999,57
34,Chelsea,3,60,1,0,59,40,5,0.768313,0.916838,0.0,0.0,1.205,w,3,-0.149,66.346973,49.24741599999999,60
35,Chelsea,3,63,3,1,62,41,5,3.51944,1.4267,0.0,0.0,2.415,w,3,2.093,69.86641300000001,50.674115999999984,63
36,Chelsea,0,63,0,2,62,43,5,0.646426,1.6703,0.0,0.0,2.103,l,0,-1.024,70.51283900000001,52.34441599999998,63
37,Chelsea,3,66,1,0,63,43,5,1.29571,0.337632,0.0,0.0,2.132,w,3,0.958,71.80854900000001,52.68204799999998,66
38,Chelsea,3,69,1,0,64,43,4,1.30874,1.58014,0.0,0.0,1.559,w,3,-0.271,73.11728900000001,54.26218799999998,69
