Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,Crystal Palace,0,0,1,2,1,2,13,1.14757,1.38064,0.0,0.0,1.532,l,0,-0.233,1.14757,1.38064,0
2,Crystal Palace,0,0,0,2,1,4,17,1.3761,1.53421,0.0,0.0,1.271,l,0,-0.158,2.52367,2.9148500000000004,0
3,Crystal Palace,1,1,1,1,2,5,16,0.459708,2.97743,0.0,0.0,2.712,d,1,-2.518,2.983378,5.89228,1
4,Crystal Palace,1,2,2,2,4,7,16,2.88716,1.65187,0.0,0.0,2.062,d,1,1.235,5.870538,7.54415,2
5,Crystal Palace,1,3,0,0,4,7,16,1.66928,2.35056,0.0,0.0,1.014,d,1,-0.681,7.539818,9.89471,3
6,Crystal Palace,0,3,1,2,5,9,18,1.12358,1.10959,0.0,0.0,1.345,l,0,0.014,8.663398,11.0043,3
7,Crystal Palace,0,3,0,1,5,10,18,0.609481,2.07332,0.0,0.0,0.478,l,0,-1.464,9.272879,13.07762,3
8,Crystal Palace,0,3,0,1,5,11,18,0.835001,1.88573,0.0,0.0,2.083,l,0,-1.051,10.107880000000002,14.96335,3
9,Crystal Palace,3,6,1,0,6,11,17,0.978611,1.0192,0.0,0.0,1.314,w,3,-0.041,11.086491000000002,15.98255,6
10,Crystal Palace,1,7,2,2,8,13,17,2.64849,1.65018,0.0,0.0,0.868,d,1,0.998,13.734981,17.63273,7
11,Crystal Palace,0,7,0,2,8,15,18,1.96037,2.25331,0.0,0.0,1.235,l,0,-0.293,15.695351,19.88604,7
12,Crystal Palace,1,8,2,2,10,17,19,1.61437,3.04455,0.0,0.0,2.149,d,1,-1.43,17.309721,22.93059,8
13,Crystal Palace,1,9,1,1,11,18,17,2.29595,0.020989,0.0,0.0,2.787,d,1,2.275,19.605671,22.951579,9
14,Crystal Palace,3,12,1,0,12,18,17,1.65422,0.471708,0.0,0.0,0.536,w,3,1.183,21.259891,23.423287,12
15,Crystal Palace,1,13,2,2,14,20,17,1.21476,1.5846,0.0,0.0,1.126,d,1,-0.37,22.474651,25.007887,13
16,Crystal Palace,3,16,3,1,17,21,15,3.00618,1.32323,0.0,0.0,0.563,w,3,1.683,25.480831,26.331116999999995,16
17,Crystal Palace,0,16,1,5,18,26,16,1.6052,3.05434,0.0,0.0,0.686,l,0,-1.449,27.086031,29.385456999999995,16
18,Crystal Palace,1,17,0,0,18,26,15,0.500066,1.20189,0.0,0.0,1.918,d,1,-0.702,27.586097,30.587346999999998,17
19,Crystal Palace,3,20,2,1,20,27,15,3.05417,1.21853,0.0,0.0,2.362,w,3,1.836,30.640267,31.805876999999995,20
20,Crystal Palace,1,21,1,1,21,28,15,1.2766,1.51541,0.0,0.0,1.212,d,1,-0.239,31.916867,33.321287,21
21,Crystal Palace,3,24,2,0,23,28,15,2.2647,2.09904,0.0,0.0,1.31,w,3,0.166,34.181567,35.420327,24
22,Crystal Palace,3,27,2,0,25,28,12,1.62561,0.221062,0.0,0.0,0.358,w,3,1.405,35.807177,35.641389000000004,27
23,Crystal Palace,0,27,1,2,26,30,13,1.23177,1.92037,0.0,0.0,0.953,l,0,-0.689,37.038947,37.561759,27
24,Crystal Palace,3,30,2,0,28,30,12,2.44633,1.50706,0.0,0.0,0.874,w,3,0.939,39.485277,39.068819000000005,30
25,Crystal Palace,0,30,1,2,29,32,13,2.30646,1.01565,0.0,0.0,2.173,l,0,1.291,41.791737000000005,40.084469000000006,30
26,Crystal Palace,3,33,2,0,31,32,13,1.46203,0.23426,0.0,0.0,0.422,w,3,1.228,43.253767,40.318729000000005,33
27,Crystal Palace,3,36,4,1,35,33,12,4.02522,0.667217,0.0,0.0,2.814,w,3,3.358,47.278987,40.985946000000006,36
28,Crystal Palace,3,39,1,0,36,33,11,3.13879,1.63282,0.0,0.0,2.178,w,3,1.506,50.417777,42.61876600000001,39
29,Crystal Palace,1,40,1,1,37,34,12,0.93776,0.687304,0.0,0.0,1.114,d,1,0.25,51.355537,43.306070000000005,40
30,Crystal Palace,3,43,2,1,39,35,11,0.443965,1.27226,0.0,0.0,0.684,w,3,-0.828,51.799502,44.57833000000001,43
31,Crystal Palace,0,43,2,5,41,40,11,1.33808,4.59724,0.0,0.0,2.705,l,0,-3.259,53.137582,49.17557000000001,43
32,Crystal Palace,0,43,0,5,41,45,12,2.37548,2.32947,0.0,0.0,1.381,l,0,0.046,55.513062,51.50504000000001,43
33,Crystal Palace,1,44,0,0,41,45,12,0.337818,0.664093,0.0,0.0,0.946,d,1,-0.326,55.85088,52.16913300000001,44
34,Crystal Palace,1,45,2,2,43,47,12,2.50515,1.92149,0.0,0.0,1.086,d,1,0.584,58.35603,54.09062300000001,45
35,Crystal Palace,1,46,1,1,44,48,12,2.34037,0.63684,0.0,0.0,2.429,d,1,1.704,60.6964,54.72746300000001,46
36,Crystal Palace,3,49,2,0,46,48,12,3.98546,0.806792,0.0,0.0,0.168,w,3,3.179,64.68186,55.53425500000001,49
37,Crystal Palace,3,52,4,2,50,50,12,1.68451,1.42886,0.0,0.0,1.548,w,3,0.256,66.36637,56.96311500000001,52
38,Crystal Palace,1,53,1,1,51,51,12,1.4144,1.92122,0.0,0.0,1.705,d,1,-0.507,67.78077,58.88433500000001,53
