Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,Fulham,0,0,0,1,0,1,15,0.418711,2.04268,0.0,0.0,2.455,l,0,-1.624,0.418711,2.04268,0
2,Fulham,3,3,2,1,2,2,10,1.96218,0.857005,0.0,0.0,2.108,w,3,1.105,2.380891,2.899685,3
3,Fulham,1,4,1,1,3,3,12,1.18883,0.707048,0.0,0.0,0.965,d,1,0.482,3.5697210000000004,3.606733,4
4,Fulham,1,5,1,1,4,4,12,2.88601,0.682719,0.0,0.0,2.583,d,1,2.203,6.455731,4.289452,5
5,Fulham,3,8,3,1,7,5,9,3.21141,1.09768,0.0,0.0,2.475,w,3,2.114,9.667141,5.387131999999999,8
6,Fulham,3,11,1,0,8,5,6,1.43592,0.614351,0.0,0.0,0.747,w,3,0.822,11.103061,6.001483,11
7,Fulham,0,11,2,3,10,8,8,2.75846,1.36684,0.0,0.0,0.67,l,0,1.392,13.861521,7.368322999999999,11
8,Fulham,0,11,1,3,11,11,10,2.63074,1.43595,0.0,0.0,2.068,l,0,1.195,16.492261,8.804272999999998,11
9,Fulham,1,12,1,1,12,12,10,1.49531,0.884845,0.0,0.0,0.931,d,1,0.61,17.987571,9.689118,12
10,Fulham,3,15,2,1,14,13,9,1.43017,0.739231,0.0,0.0,1.878,w,3,0.691,19.417741,10.428349,15
11,Fulham,3,18,2,0,16,13,7,2.25331,1.96037,0.0,0.0,1.235,w,3,0.293,21.671051,12.388718999999998,18
12,Fulham,0,18,1,4,17,17,9,0.717158,1.33903,0.0,0.0,0.884,l,0,-0.622,22.388209,13.727748999999998,18
13,Fulham,1,19,1,1,18,18,10,1.57274,1.01086,0.0,0.0,0.983,d,1,0.562,23.960949,14.738608999999997,19
14,Fulham,3,22,3,1,21,19,6,0.666644,1.09939,0.0,0.0,0.985,w,3,-0.433,24.627593,15.837998999999996,22
15,Fulham,1,23,1,1,22,20,10,0.150988,2.4333,0.0,0.0,0.15,d,1,-2.282,24.778581000000003,18.271299,23
16,Fulham,1,24,2,2,24,22,8,1.2862,2.09698,0.0,0.0,1.89,d,1,-0.811,26.064781000000004,20.368278999999998,24
17,Fulham,1,25,0,0,24,22,9,1.25255,0.280031,0.0,0.0,2.156,d,1,0.973,27.317331000000003,20.648309999999995,25
18,Fulham,3,28,2,1,26,23,8,1.77929,1.55626,0.0,0.0,1.246,w,3,0.223,29.096621000000003,22.20457,28
19,Fulham,1,29,2,2,28,25,8,0.961566,1.70692,0.0,0.0,0.874,d,1,-0.745,30.058187000000004,23.91149,29
20,Fulham,1,30,2,2,30,27,9,2.65469,1.4434,0.0,0.0,2.075,d,1,1.211,32.712877000000006,25.35489,30
21,Fulham,0,30,2,3,32,30,10,2.83581,0.937322,0.0,0.0,0.427,l,0,1.898,35.54868700000001,26.292212,30
22,Fulham,3,33,2,0,34,30,10,2.36823,0.676934,0.0,0.0,0.425,w,3,1.691,37.916917000000005,26.969146,33
23,Fulham,0,33,0,1,34,31,10,0.560571,0.201988,0.0,0.0,1.628,l,0,0.359,38.47748800000001,27.171134,33
24,Fulham,3,36,2,1,36,32,9,1.60881,1.22716,0.0,0.0,1.12,w,3,0.382,40.086298000000006,28.398294,36
25,Fulham,3,39,2,1,38,33,8,2.20993,0.331301,0.0,0.0,2.575,w,3,1.879,42.296228000000006,28.729595,39
26,Fulham,0,39,0,2,38,35,9,0.23426,1.46203,0.0,0.0,0.422,l,0,-1.228,42.530488000000005,30.191625,39
27,Fulham,3,42,2,1,40,36,9,1.43473,0.928973,0.0,0.0,1.0,w,3,0.506,43.96521800000001,31.120598,42
28,Fulham,0,42,1,2,41,38,9,0.708227,1.94417,0.0,0.0,2.205,l,0,-1.236,44.67344500000001,33.064768,42
29,Fulham,3,45,2,0,43,38,8,1.03966,1.40865,0.0,0.0,1.102,w,3,-0.369,45.713105000000006,34.473418,45
30,Fulham,0,45,1,2,44,40,9,1.44206,2.30189,0.0,0.0,1.902,l,0,-0.86,47.155165,36.775308,45
31,Fulham,3,48,3,2,47,42,8,1.72764,1.40638,0.0,0.0,1.59,w,3,0.321,48.882805000000005,38.181688,48
32,Fulham,0,48,0,1,47,43,9,1.07203,1.8577,0.0,0.0,1.898,l,0,-0.786,49.954835,40.039388,48
33,Fulham,0,48,1,2,48,45,9,0.306122,0.75172,0.0,0.0,0.847,l,0,-0.446,50.260957000000005,40.791108,48
34,Fulham,3,51,2,1,50,46,8,1.9956,0.935581,0.0,0.0,0.719,w,3,1.06,52.25655700000001,41.726689,51
35,Fulham,0,51,0,1,50,47,11,0.702787,1.29013,0.0,0.0,1.809,l,0,-0.587,52.95934400000001,43.016819,51
36,Fulham,0,51,1,3,51,50,11,1.20869,1.32604,0.0,0.0,1.283,l,0,-0.117,54.168034000000006,44.342859,51
37,Fulham,3,54,3,2,54,52,10,1.61741,2.43045,0.0,0.0,1.862,w,3,-0.813,55.785444000000005,46.773309,54
38,Fulham,0,54,0,2,54,54,11,2.21797,2.45923,0.0,0.0,1.276,l,0,-0.241,58.00341400000001,49.232539,54
