Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,Ipswich,0,0,0,2,0,2,18,0.342601,3.92906,0.0,0.0,0.071,l,0,-3.586,0.342601,3.92906,0
2,Ipswich,0,0,1,4,1,6,18,0.479999,3.07818,0.0,0.0,2.724,l,0,-2.598,0.8226,7.00724,0
3,Ipswich,1,1,1,1,2,7,17,0.707048,1.18883,0.0,0.0,0.965,d,1,-0.482,1.529648,8.19607,1
4,Ipswich,1,2,0,0,2,7,17,0.721323,1.75696,0.0,0.0,2.095,d,1,-1.036,2.250971,9.95303,2
5,Ipswich,1,3,1,1,3,8,17,1.645,2.89813,0.0,0.0,2.07,d,1,-1.253,3.895971,12.85116,3
6,Ipswich,1,4,2,2,5,10,15,1.84608,1.14494,0.0,0.0,1.841,d,1,0.701,5.742051,13.9961,4
7,Ipswich,0,4,1,4,6,14,17,1.18463,4.39402,0.0,0.0,2.717,l,0,-3.209,6.926681,18.39012,4
8,Ipswich,0,4,0,2,6,16,17,1.174,1.60804,0.0,0.0,1.083,l,0,-0.434,8.100681,19.99816,4
9,Ipswich,0,4,3,4,9,20,18,1.65698,4.09663,0.0,0.0,2.484,l,0,-2.44,9.757661,24.09479,4
10,Ipswich,1,5,1,1,10,21,18,1.33617,2.33858,0.0,0.0,0.821,d,1,-1.002,11.093830999999998,26.43337,5
11,Ipswich,3,8,2,1,12,22,17,2.18392,1.75088,0.0,0.0,1.147,w,3,0.433,13.277751,28.18425,8
12,Ipswich,1,9,1,1,13,23,18,1.98714,1.26912,0.0,0.0,1.839,d,1,0.718,15.264891,29.45337,9
13,Ipswich,0,9,0,1,13,24,19,0.462771,1.76587,0.0,0.0,2.297,l,0,-1.303,15.727662,31.21924,9
14,Ipswich,0,9,0,1,13,25,18,0.471708,1.65422,0.0,0.0,0.536,l,0,-1.183,16.19937,32.87346,9
15,Ipswich,0,9,1,2,14,27,18,1.5668,3.49127,0.0,0.0,0.529,l,0,-1.924,17.76617,36.36473,9
16,Ipswich,3,12,2,1,16,28,18,1.73349,1.23748,0.0,0.0,1.056,w,3,0.496,19.49966,37.60221,12
17,Ipswich,0,12,0,4,16,32,19,1.06427,3.23386,0.0,0.0,0.383,l,0,-2.17,20.56393,40.83607,12
18,Ipswich,0,12,0,1,16,33,19,0.0783327,2.16462,0.0,0.0,2.722,l,0,-2.086,20.6422627,43.00069,12
19,Ipswich,3,15,2,0,18,33,18,1.50093,1.60622,0.0,0.0,1.313,w,3,-0.105,22.1431927,44.60691,15
20,Ipswich,1,16,2,2,20,35,18,1.4434,2.65469,0.0,0.0,2.075,d,1,-1.211,23.5865927,47.2616,16
21,Ipswich,0,16,0,2,20,37,18,0.268127,1.06343,0.0,0.0,0.623,l,0,-0.795,23.8547197,48.32503,16
22,Ipswich,0,16,0,6,20,43,18,0.795637,3.20228,0.0,0.0,0.282,l,0,-2.407,24.6503567,51.52731,16
23,Ipswich,0,16,1,4,21,47,19,0.804707,2.16809,0.0,0.0,2.247,l,0,-1.363,25.4550637,53.6954,16
24,Ipswich,0,16,1,2,22,49,19,1.94845,1.17566,0.0,0.0,1.88,l,0,0.773,27.4035137,54.87106,16
25,Ipswich,1,17,1,1,23,50,18,0.332864,2.89841,0.0,0.0,2.753,d,1,-2.566,27.7363777,57.76947,17
26,Ipswich,0,17,1,4,24,54,18,1.15389,1.58741,0.0,0.0,1.08,l,0,-0.434,28.890267700000003,59.35688,17
27,Ipswich,0,17,2,3,26,57,18,1.04498,1.40202,0.0,0.0,1.622,l,0,-0.357,29.9352477,60.7589,17
28,Ipswich,0,17,0,1,26,58,18,1.63282,3.13879,0.0,0.0,2.178,l,0,-1.506,31.5680677,63.89769,17
29,Ipswich,0,17,2,4,28,62,18,0.520839,1.30722,0.0,0.0,0.734,l,0,-0.786,32.0889067,65.20491,17
30,Ipswich,3,20,2,1,30,63,18,1.41263,1.99637,0.0,0.0,1.751,w,3,-0.584,33.5015367,67.20128,20
31,Ipswich,0,20,1,2,31,65,18,0.872356,2.8096,0.0,0.0,0.403,l,0,-1.937,34.373892700000006,70.01088,20
32,Ipswich,1,21,2,2,33,67,18,1.60301,2.90758,0.0,0.0,2.098,d,1,-1.305,35.976902700000004,72.91846,21
33,Ipswich,0,21,0,4,33,71,18,0.192879,2.81362,0.0,0.0,0.121,l,0,-2.621,36.1697817,75.73208,21
34,Ipswich,0,21,0,3,33,74,18,0.127203,4.11539,0.0,0.0,2.947,l,0,-3.988,36.2969847,79.84747,21
35,Ipswich,1,22,2,2,35,76,18,1.14351,0.808481,0.0,0.0,1.082,d,1,0.335,37.4404947,80.655951,22
36,Ipswich,0,22,0,1,35,77,18,0.717433,1.32077,0.0,0.0,0.895,l,0,-0.603,38.1579277,81.976721,22
37,Ipswich,0,22,0,2,35,79,19,1.36957,0.788544,0.0,0.0,0.926,l,0,0.581,39.527497700000005,82.765265,22
38,Ipswich,0,22,1,3,36,82,19,0.893095,0.967379,0.0,0.0,1.279,l,0,-0.074,40.42059270000001,83.732644,22
