Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,Man City,3,3,2,0,2,0,4,1.18038,1.06123,0.0,0.0,1.267,w,3,0.119,1.18038,1.06123,3
2,Man City,3,6,4,1,6,1,1,3.07818,0.479999,0.0,0.0,2.724,w,3,2.598,4.25856,1.541229,6
3,Man City,3,9,3,1,9,2,1,3.19297,0.947201,0.0,0.0,0.344,w,3,2.246,7.45153,2.48843,9
4,Man City,3,12,2,1,11,3,1,1.55279,1.05094,0.0,0.0,1.722,w,3,0.502,9.00432,3.53937,12
5,Man City,1,13,2,2,13,5,1,2.75588,1.28411,0.0,0.0,2.211,d,1,1.472,11.7602,4.82348,13
6,Man City,1,14,1,1,14,6,2,1.26516,1.34344,0.0,0.0,1.423,d,1,-0.078,13.02536,6.16692,14
7,Man City,3,17,3,2,17,8,2,1.36684,2.75846,0.0,0.0,0.67,w,3,-1.392,14.3922,8.92538,17
8,Man City,3,20,2,1,19,9,2,1.36569,0.761217,0.0,0.0,0.905,w,3,0.604,15.75789,9.686597,20
9,Man City,3,23,1,0,20,9,1,3.16286,0.369989,0.0,0.0,2.785,w,3,2.793,18.92075,10.056586,23
10,Man City,0,23,1,2,21,11,2,2.3527,2.4493,0.0,0.0,1.458,l,0,-0.097,21.27345,12.505886,23
11,Man City,0,23,1,2,22,13,2,2.60334,2.87116,0.0,0.0,1.547,l,0,-0.268,23.87679,15.377046,23
12,Man City,0,23,0,4,22,17,2,2.15899,3.30449,0.0,0.0,0.867,l,0,-1.145,26.035779999999995,18.681536,23
13,Man City,0,23,0,2,22,19,5,0.745015,3.70054,0.0,0.0,2.74,l,0,-2.956,26.780794999999998,22.382076,23
14,Man City,3,26,3,0,25,19,4,3.20169,0.802155,0.0,0.0,2.61,w,3,2.4,29.982484999999997,23.184231,26
15,Man City,1,27,2,2,27,21,4,1.5846,1.21476,0.0,0.0,1.126,d,1,0.37,31.56708499999999,24.398991,27
16,Man City,0,27,1,2,28,23,5,0.638103,2.04662,0.0,0.0,0.505,l,0,-1.409,32.20518799999999,26.445611000000003,27
17,Man City,0,27,1,2,29,25,7,1.09627,2.05988,0.0,0.0,1.996,l,0,-0.964,33.30145799999999,28.505491000000003,27
18,Man City,1,28,1,1,30,26,7,2.51965,0.653289,0.0,0.0,2.484,d,1,1.866,35.82110799999999,29.158780000000004,28
19,Man City,3,31,2,0,32,26,6,1.58002,1.84208,0.0,0.0,1.551,w,3,-0.262,37.40112799999999,31.000860000000003,31
20,Man City,3,34,4,1,36,27,6,1.97986,1.53286,0.0,0.0,1.664,w,3,0.447,39.38098799999999,32.53372,34
21,Man City,1,35,2,2,38,29,6,2.65315,2.39088,0.0,0.0,1.273,d,1,0.262,42.034137999999984,34.924600000000005,35
22,Man City,3,38,6,0,44,29,5,3.20228,0.795637,0.0,0.0,0.282,w,3,2.407,45.23641799999999,35.720237000000004,38
23,Man City,3,41,3,1,47,30,4,2.23213,1.49843,0.0,0.0,1.83,w,3,0.734,47.468547999999984,37.218667,41
24,Man City,0,41,1,5,48,35,5,0.743191,1.53202,0.0,0.0,1.942,l,0,-0.789,48.21173899999999,38.750687000000006,41
25,Man City,3,44,4,0,52,35,4,2.12004,0.157211,0.0,0.0,2.659,w,3,1.963,50.33177899999999,38.907898,44
26,Man City,0,44,0,2,52,37,4,0.58248,0.807058,0.0,0.0,1.107,l,0,-0.225,50.91425899999999,39.714956,44
27,Man City,3,47,1,0,53,37,4,2.38641,1.28426,0.0,0.0,0.769,w,3,1.102,53.30066899999999,40.999216,47
28,Man City,0,47,0,1,53,38,5,0.721234,0.501476,0.0,0.0,1.087,l,0,0.22,54.02190299999999,41.500692,47
29,Man City,1,48,2,2,55,40,6,2.02642,2.11119,0.0,0.0,1.35,d,1,-0.085,56.04832299999999,43.611882,48
30,Man City,3,51,2,0,57,40,6,2.07165,0.104741,0.0,0.0,2.679,w,3,1.967,58.11997299999999,43.716623,51
31,Man City,1,52,0,0,57,40,6,0.687894,1.23317,0.0,0.0,1.779,d,1,-0.545,58.80786699999999,44.949793,52
32,Man City,3,55,5,2,62,42,5,4.59724,1.33808,0.0,0.0,2.705,w,3,3.259,63.40510699999999,46.287873,55
33,Man City,3,58,2,0,64,42,5,1.87989,0.81683,0.0,0.0,0.689,w,3,1.063,65.28499699999999,47.104703,58
34,Man City,3,61,2,1,66,43,4,1.36232,1.85906,0.0,0.0,1.072,w,3,-0.497,66.64731699999999,48.963763,61
35,Man City,3,64,1,0,67,43,3,0.859463,0.622455,0.0,0.0,1.526,w,3,0.237,67.50677999999999,49.586218,64
36,Man City,1,65,0,0,67,43,4,1.58463,0.136995,0.0,0.0,0.307,d,1,1.448,69.09141,49.723213,65
37,Man City,3,68,3,1,70,44,3,1.59779,0.962014,0.0,0.0,1.817,w,3,0.636,70.6892,50.685227000000005,68
38,Man City,3,71,2,0,72,44,3,2.45923,2.21797,0.0,0.0,1.276,w,3,0.241,73.14843,52.903197000000006,71
