Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,Nott'm Forest,1,1,1,1,1,1,11,1.24405,1.90915,0.0,0.0,0.967,d,1,-0.665,1.24405,1.90915,1
2,Nott'm Forest,3,4,1,0,2,1,7,2.86475,0.214952,0.0,0.0,0.123,w,3,2.65,4.1088000000000005,2.124102,4
3,Nott'm Forest,1,5,1,1,3,2,9,1.41069,0.937632,0.0,0.0,1.709,d,1,0.473,5.51949,3.0617339999999995,5
4,Nott'm Forest,3,8,1,0,4,2,7,0.589532,1.17044,0.0,0.0,1.816,w,3,-0.581,6.109022,4.232174,8
5,Nott'm Forest,1,9,2,2,6,4,8,1.36923,1.56836,0.0,0.0,1.51,d,1,-0.199,7.478252,5.800534,9
6,Nott'm Forest,0,9,0,1,6,5,10,0.614351,1.43592,0.0,0.0,0.747,l,0,-0.822,8.092603,7.236454,9
7,Nott'm Forest,1,10,1,1,7,6,10,1.66654,2.27752,0.0,0.0,1.751,d,1,-0.611,9.759143,9.513974,10
8,Nott'm Forest,3,13,1,0,8,6,8,1.88573,0.835001,0.0,0.0,2.083,w,3,1.051,11.644873,10.348975,13
9,Nott'm Forest,3,16,3,1,11,7,7,2.54488,0.832415,0.0,0.0,0.457,w,3,1.712,14.189753,11.18139,16
10,Nott'm Forest,3,19,3,0,14,7,3,2.35011,0.132317,0.0,0.0,2.736,w,3,2.218,16.539863,11.313707,19
11,Nott'm Forest,0,19,1,3,15,10,5,1.17852,1.86904,0.0,0.0,0.943,l,0,-0.691,17.718383,13.182747,19
12,Nott'm Forest,0,19,0,3,15,13,7,0.403136,1.66016,0.0,0.0,2.29,l,0,-1.257,18.121519,14.842907,19
13,Nott'm Forest,3,22,1,0,16,13,6,1.76587,0.462771,0.0,0.0,2.297,w,3,1.303,19.887389,15.305678,22
14,Nott'm Forest,0,22,0,3,16,16,7,0.802155,3.20169,0.0,0.0,2.61,l,0,-2.4,20.689544,18.507368,22
15,Nott'm Forest,3,25,3,2,19,18,5,0.651217,1.4697,0.0,0.0,1.975,w,3,-0.818,21.340761,19.977068,25
16,Nott'm Forest,3,28,2,1,21,19,4,2.2861,0.389423,0.0,0.0,2.564,w,3,1.897,23.626861,20.366491,28
17,Nott'm Forest,3,31,2,0,23,19,4,0.964897,0.769004,0.0,0.0,1.17,w,3,0.196,24.591758,21.135495,31
18,Nott'm Forest,3,34,1,0,24,19,4,1.30018,1.05758,0.0,0.0,1.539,w,3,0.243,25.891938,22.193075,34
19,Nott'm Forest,3,37,2,0,26,19,3,2.02753,0.615191,0.0,0.0,0.497,w,3,1.412,27.919468,22.808266,37
20,Nott'm Forest,3,40,3,0,29,19,3,2.57227,1.90463,0.0,0.0,1.045,w,3,0.668,30.491738,24.712896,40
21,Nott'm Forest,1,41,1,1,30,20,3,0.5292,2.72291,0.0,0.0,0.266,d,1,-2.194,31.020938,27.435806,41
22,Nott'm Forest,3,44,3,2,33,22,3,2.36419,1.25922,0.0,0.0,2.047,w,3,1.105,33.385127999999995,28.695026,44
23,Nott'm Forest,0,44,0,5,33,27,3,0.996166,2.8254,0.0,0.0,2.399,l,0,-1.829,34.381294,31.520426,44
24,Nott'm Forest,3,47,7,0,40,27,3,4.0677,0.756296,0.0,0.0,2.794,w,3,3.311,38.448994,32.276722,47
25,Nott'm Forest,0,47,1,2,41,29,3,0.331301,2.20993,0.0,0.0,2.575,l,0,-1.879,38.780295,34.486652,47
26,Nott'm Forest,0,47,3,4,44,33,3,2.38603,3.45858,0.0,0.0,1.928,l,0,-1.073,41.166325,37.945232,47
27,Nott'm Forest,1,48,0,0,44,33,3,0.508611,1.31766,0.0,0.0,0.718,d,1,-0.809,41.674936,39.262892,48
28,Nott'm Forest,3,51,1,0,45,33,3,0.501476,0.721234,0.0,0.0,1.087,w,3,-0.22,42.176412,39.984126,51
29,Nott'm Forest,3,54,4,2,49,35,3,1.30722,0.520839,0.0,0.0,0.734,w,3,0.786,43.483632,40.504965,54
30,Nott'm Forest,3,57,1,0,50,35,3,0.512063,1.86688,0.0,0.0,0.485,w,3,-1.355,43.995695,42.371845,57
31,Nott'm Forest,0,57,1,2,51,37,3,0.96769,2.63349,0.0,0.0,2.343,l,0,-1.666,44.963385,45.005335,57
32,Nott'm Forest,0,57,0,1,51,38,4,0.423949,1.26036,0.0,0.0,0.672,l,0,-0.836,45.387334,46.265695,57
33,Nott'm Forest,3,60,2,1,53,39,3,0.557682,2.4024,0.0,0.0,2.5,w,3,-1.845,45.945016,48.668095,60
34,Nott'm Forest,0,60,0,2,53,41,6,0.670607,1.52054,0.0,0.0,0.749,l,0,-0.85,46.61562299999999,50.188635,60
35,Nott'm Forest,1,61,1,1,54,42,6,0.63684,2.34037,0.0,0.0,2.429,d,1,-1.704,47.25246299999999,52.529005,61
36,Nott'm Forest,1,62,2,2,56,44,7,1.76909,1.22949,0.0,0.0,1.735,d,1,0.54,49.02155299999999,53.758495,62
37,Nott'm Forest,3,65,2,1,58,45,7,2.14756,0.850457,0.0,0.0,0.602,w,3,1.297,51.16911299999999,54.608952,65
38,Nott'm Forest,0,65,0,1,58,46,7,1.58014,1.30874,0.0,0.0,1.559,l,0,0.271,52.74925299999999,55.917692,65
