Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,Southampton,0,0,0,1,0,1,16,1.95483,0.433489,0.0,0.0,0.404,l,0,1.521,1.95483,0.433489,0
2,Southampton,0,0,0,1,0,2,16,0.214952,2.86475,0.0,0.0,0.123,l,0,-2.65,2.169782,3.298239,0
3,Southampton,0,0,1,3,1,5,19,1.64713,3.86281,0.0,0.0,2.422,l,0,-2.216,3.816912,7.161049,0
4,Southampton,0,0,0,3,1,8,19,1.35593,3.02693,0.0,0.0,0.572,l,0,-1.671,5.172842,10.187979,0
5,Southampton,1,1,1,1,2,9,18,2.89813,1.645,0.0,0.0,2.07,d,1,1.253,8.070972000000001,11.832979,1
6,Southampton,0,1,1,3,3,12,19,0.696068,1.44215,0.0,0.0,1.921,l,0,-0.746,8.767040000000001,13.275129,1
7,Southampton,0,1,1,3,4,15,19,1.27313,3.25165,0.0,0.0,2.402,l,0,-1.979,10.040170000000002,16.526779,1
8,Southampton,0,1,2,3,6,18,19,2.42776,2.83826,0.0,0.0,1.204,l,0,-0.41,12.467930000000004,19.365039000000003,1
9,Southampton,0,1,0,1,6,19,20,0.369989,3.16286,0.0,0.0,2.785,l,0,-2.793,12.837919000000005,22.527899,1
10,Southampton,3,4,1,0,7,19,19,0.540345,1.78581,0.0,0.0,0.535,w,3,-1.245,13.378264000000003,24.313709000000003,4
11,Southampton,0,4,0,2,7,21,20,0.792655,0.912781,0.0,0.0,1.431,l,0,-0.12,14.170919000000003,25.22649,4
12,Southampton,0,4,2,3,9,24,20,1.53985,3.18835,0.0,0.0,0.609,l,0,-1.648,15.710769000000004,28.41484,4
13,Southampton,1,5,1,1,10,25,20,0.934969,1.86986,0.0,0.0,2.002,d,1,-0.935,16.645738,30.2847,5
14,Southampton,0,5,1,5,11,30,20,1.91014,5.8331,0.0,0.0,0.2,l,0,-3.923,18.555878,36.1178,5
15,Southampton,0,5,0,1,11,31,20,0.385832,2.51338,0.0,0.0,2.635,l,0,-2.128,18.94171,38.63118,5
16,Southampton,0,5,0,5,11,36,20,1.27356,3.89322,0.0,0.0,0.321,l,0,-2.62,20.21527,42.5244,5
17,Southampton,1,6,0,0,11,36,20,0.280031,1.25255,0.0,0.0,2.156,d,1,-0.973,20.495301,43.77695,6
18,Southampton,0,6,0,1,11,37,20,2.19833,1.90111,0.0,0.0,1.568,l,0,0.297,22.693631,45.67806,6
19,Southampton,0,6,1,2,12,39,20,1.21853,3.05417,0.0,0.0,2.362,l,0,-1.836,23.912161,48.73223,6
20,Southampton,0,6,0,5,12,44,20,0.249614,5.54874,0.0,0.0,0.014,l,0,-5.299,24.161775,54.28097,6
21,Southampton,0,6,1,3,13,47,20,1.36705,3.10847,0.0,0.0,2.305,l,0,-1.741,25.528825,57.38944,6
22,Southampton,0,6,2,3,15,50,20,1.25922,2.36419,0.0,0.0,2.047,l,0,-1.105,26.788045,59.75363,6
23,Southampton,0,6,1,3,16,53,20,0.825621,3.08319,0.0,0.0,0.318,l,0,-2.258,27.613666,62.83682,6
24,Southampton,3,9,2,1,18,54,20,1.17566,1.94845,0.0,0.0,1.88,w,3,-0.773,28.789326000000003,64.78527,9
25,Southampton,0,9,1,3,19,57,20,0.974418,2.08722,0.0,0.0,0.705,l,0,-1.113,29.763744000000003,66.87249,9
26,Southampton,0,9,0,4,19,61,20,0.154147,5.12018,0.0,0.0,0.014,l,0,-4.966,29.917891,71.99267,9
27,Southampton,0,9,0,4,19,65,20,0.845039,2.98234,0.0,0.0,2.529,l,0,-2.137,30.76293,74.97501,9
28,Southampton,0,9,1,3,20,68,20,0.511566,4.98996,0.0,0.0,2.93,l,0,-4.478,31.274496,79.96497,9
29,Southampton,0,9,1,2,21,70,20,1.2821,0.540718,0.0,0.0,1.941,l,0,0.741,32.556596,80.50568799999999,9
30,Southampton,1,10,1,1,22,71,20,0.687304,0.93776,0.0,0.0,1.114,d,1,-0.25,33.2439,81.44344799999999,10
31,Southampton,0,10,1,3,23,74,20,0.780439,2.648,0.0,0.0,2.456,l,0,-1.868,34.024339,84.09144799999999,10
32,Southampton,0,10,0,3,23,77,20,0.412256,2.99927,0.0,0.0,0.174,l,0,-2.587,34.436595,87.09071799999998,10
33,Southampton,1,11,1,1,24,78,20,0.922877,0.98423,0.0,0.0,1.39,d,1,-0.061,35.359472,88.07494799999998,11
34,Southampton,0,11,1,2,25,80,20,0.935581,1.9956,0.0,0.0,0.719,l,0,-1.06,36.295053,90.07054799999997,11
35,Southampton,0,11,0,2,25,82,20,0.550774,1.60739,0.0,0.0,2.142,l,0,-1.057,36.84582699999999,91.67793799999995,11
36,Southampton,1,12,0,0,25,82,20,0.136995,1.58463,0.0,0.0,0.307,d,1,-1.448,36.98282199999999,93.26256799999996,12
37,Southampton,0,12,0,2,25,84,20,1.05025,2.67793,0.0,0.0,2.313,l,0,-1.628,38.03307199999999,95.94049799999998,12
38,Southampton,0,12,1,2,26,86,20,0.598144,2.40711,0.0,0.0,0.372,l,0,-1.809,38.63121599999999,98.34760799999998,12
