Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,West Ham,0,0,1,2,1,2,14,2.8047,2.6703,0.0,0.0,1.48,l,0,0.134,2.8047,2.6703,0
2,West Ham,3,3,2,0,3,2,9,1.53421,1.3761,0.0,0.0,1.271,w,3,0.158,4.33891,4.0464,3
3,West Ham,0,3,1,3,4,5,13,0.947201,3.19297,0.0,0.0,0.344,l,0,-2.246,5.286111,7.23937,3
4,West Ham,1,4,1,1,5,6,14,0.682719,2.88601,0.0,0.0,2.583,d,1,-2.203,5.96883,10.12538,4
5,West Ham,0,4,0,3,5,9,14,0.758267,2.39727,0.0,0.0,0.461,l,0,-1.639,6.727097,12.52265,4
6,West Ham,1,5,1,1,6,10,14,0.878617,0.370222,0.0,0.0,0.836,d,1,0.508,7.605714,12.892872,5
7,West Ham,3,8,4,1,10,11,12,4.39402,1.18463,0.0,0.0,2.717,w,3,3.209,11.999734,14.077502,8
8,West Ham,0,8,1,4,11,15,15,0.858803,1.44052,0.0,0.0,1.79,l,0,-0.582,12.858537,15.518021999999998,8
9,West Ham,3,11,2,1,13,16,13,2.99312,2.62598,0.0,0.0,1.595,w,3,0.367,15.851657,18.144002,11
10,West Ham,0,11,0,3,13,19,14,0.132317,2.35011,0.0,0.0,2.736,l,0,-2.218,15.983974,20.494112,11
11,West Ham,1,12,0,0,13,19,14,1.1237,0.865983,0.0,0.0,1.549,d,1,0.258,17.107674,21.360095,12
12,West Ham,3,15,2,0,15,19,14,0.942824,1.49781,0.0,0.0,1.765,w,3,-0.555,18.050498,22.857905,15
13,West Ham,0,15,2,5,17,24,14,1.23539,3.99935,0.0,0.0,0.289,l,0,-2.764,19.285888,26.857255,15
14,West Ham,0,15,1,3,18,27,14,2.87716,2.78061,0.0,0.0,1.367,l,0,0.097,22.163048,29.637865,15
15,West Ham,3,18,2,1,20,28,14,1.19808,1.47567,0.0,0.0,1.18,w,3,-0.278,23.361128,31.113535,18
16,West Ham,1,19,1,1,21,29,14,1.81827,2.04842,0.0,0.0,1.53,d,1,-0.23,25.179398,33.161955000000006,19
17,West Ham,1,20,1,1,22,30,14,1.22937,1.34379,0.0,0.0,1.287,d,1,-0.114,26.408768,34.505745000000005,20
18,West Ham,3,23,1,0,23,30,13,1.90111,2.19833,0.0,0.0,1.568,w,3,-0.297,28.309878,36.704075,23
19,West Ham,0,23,0,5,23,35,13,0.518279,3.29868,0.0,0.0,0.17,l,0,-2.78,28.828157,40.002755,23
20,West Ham,0,23,1,4,24,39,14,1.53286,1.97986,0.0,0.0,1.664,l,0,-0.447,30.361017,41.982615,23
21,West Ham,3,26,3,2,27,41,13,0.937322,2.83581,0.0,0.0,0.427,w,3,-1.898,31.298339,44.818425000000005,26
22,West Ham,0,26,0,2,27,43,14,0.221062,1.62561,0.0,0.0,0.358,l,0,-1.405,31.519401,46.44403500000001,26
23,West Ham,1,27,1,1,28,44,14,1.67886,0.907851,0.0,0.0,0.85,d,1,0.771,33.198260999999995,47.35188600000001,27
24,West Ham,0,27,1,2,29,46,16,1.1868,1.39066,0.0,0.0,1.512,l,0,-0.204,34.38506099999999,48.742546,27
25,West Ham,0,27,0,1,29,47,16,0.673466,1.96499,0.0,0.0,0.558,l,0,-1.292,35.05852699999999,50.707536000000005,27
26,West Ham,3,30,1,0,30,47,16,1.02684,1.37264,0.0,0.0,1.615,w,3,-0.346,36.08536699999999,52.080176,30
27,West Ham,3,33,2,0,32,47,15,1.70437,0.289578,0.0,0.0,2.404,w,3,1.415,37.78973699999999,52.369754,33
28,West Ham,0,33,0,1,32,48,16,0.823986,1.62976,0.0,0.0,0.812,l,0,-0.806,38.61372299999999,53.999514,33
29,West Ham,1,34,1,1,33,49,16,0.516029,1.189,0.0,0.0,1.895,d,1,-0.673,39.12975199999999,55.188514,34
30,West Ham,0,34,0,1,33,50,16,1.73057,1.10359,0.0,0.0,0.964,l,0,0.627,40.86032199999999,56.292104,34
31,West Ham,1,35,2,2,35,52,16,0.907832,1.94869,0.0,0.0,0.721,d,1,-1.041,41.76815399999999,58.240794,35
32,West Ham,0,35,1,2,36,54,17,1.46598,1.42902,0.0,0.0,1.351,l,0,0.037,43.23413399999999,59.669814,35
33,West Ham,1,36,1,1,37,55,17,0.98423,0.922877,0.0,0.0,1.39,d,1,0.061,44.21836399999999,60.592691,36
34,West Ham,0,36,2,3,39,58,17,1.24134,1.29433,0.0,0.0,1.404,l,0,-0.053,45.45970399999999,61.887021,36
35,West Ham,1,37,1,1,40,59,17,1.15166,0.847022,0.0,0.0,1.586,d,1,0.305,46.61136399999999,62.734043,37
36,West Ham,3,40,2,0,42,59,15,2.15985,2.31287,0.0,0.0,1.487,w,3,-0.153,48.77121399999999,65.046913,40
37,West Ham,0,40,1,2,43,61,15,0.850457,2.14756,0.0,0.0,0.602,l,0,-1.297,49.62167099999999,67.194473,40
38,West Ham,3,43,3,1,46,62,14,0.967379,0.893095,0.0,0.0,1.279,w,3,0.074,50.58904999999999,68.087568,43
