Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,Wolves,0,0,0,2,0,2,19,0.575835,1.6283,0.0,0.0,2.134,l,0,-1.052,0.575835,1.6283,0
2,Wolves,0,0,2,6,2,8,19,2.4181,2.02935,0.0,0.0,1.617,l,0,0.389,2.993935,3.65765,0
3,Wolves,1,1,1,1,3,9,18,0.937632,1.41069,0.0,0.0,1.709,d,1,-0.473,3.931567,5.06834,1
4,Wolves,0,1,1,2,4,11,18,1.46969,1.48343,0.0,0.0,1.368,l,0,-0.014,5.401257,6.55177,1
5,Wolves,0,1,1,3,5,14,20,0.520117,2.37351,0.0,0.0,2.513,l,0,-1.853,5.921374,8.92528,1
6,Wolves,0,1,1,2,6,16,20,0.748925,2.11724,0.0,0.0,0.55,l,0,-1.368,6.670299,11.04252,1
7,Wolves,0,1,3,5,9,21,20,0.696254,4.13513,0.0,0.0,2.82,l,0,-3.439,7.366553,15.17765,1
8,Wolves,0,1,1,2,10,23,20,0.761217,1.36569,0.0,0.0,0.905,l,0,-0.604,8.12777,16.54334,1
9,Wolves,1,2,2,2,12,25,19,1.11074,1.51347,0.0,0.0,1.652,d,1,-0.403,9.23851,18.05681,2
10,Wolves,1,3,2,2,14,27,20,1.65018,2.64849,0.0,0.0,0.868,d,1,-0.998,10.88869,20.7053,3
11,Wolves,3,6,2,0,16,27,19,0.912781,0.792655,0.0,0.0,1.431,w,3,0.12,11.801471,21.497955,6
12,Wolves,3,9,4,1,20,28,17,1.33903,0.717158,0.0,0.0,0.884,w,3,0.622,13.140501,22.215113,9
13,Wolves,0,9,2,4,22,32,18,0.866034,3.07901,0.0,0.0,0.335,l,0,-2.213,14.006535,25.294123000000003,9
14,Wolves,0,9,0,4,22,36,19,0.847724,1.49904,0.0,0.0,1.839,l,0,-0.651,14.854259,26.793163000000003,9
15,Wolves,0,9,1,2,23,38,19,1.47567,1.19808,0.0,0.0,1.18,l,0,0.278,16.329929,27.991243000000004,9
16,Wolves,0,9,1,2,24,40,19,1.23748,1.73349,0.0,0.0,1.056,l,0,-0.496,17.567409,29.724733000000004,9
17,Wolves,3,12,3,0,27,40,18,1.13531,0.78868,0.0,0.0,1.07,w,3,0.347,18.702719,30.513413000000003,12
18,Wolves,3,15,2,0,29,40,17,0.826489,0.358876,0.0,0.0,1.74,w,3,0.468,19.529208,30.872289,15
19,Wolves,1,16,2,2,31,42,17,0.640697,2.28433,0.0,0.0,2.404,d,1,-1.644,20.169905,33.156619,16
20,Wolves,0,16,0,3,31,45,17,1.90463,2.57227,0.0,0.0,1.045,l,0,-0.668,22.074535,35.728889,16
21,Wolves,0,16,0,3,31,48,17,1.47433,2.13327,0.0,0.0,1.79,l,0,-0.659,23.548865,37.862159000000005,16
22,Wolves,0,16,1,3,32,51,17,1.06726,3.14882,0.0,0.0,2.47,l,0,-2.082,24.616125,41.010979000000006,16
23,Wolves,0,16,0,1,32,52,18,0.514724,0.887358,0.0,0.0,0.981,l,0,-0.373,25.130849,41.898337000000005,16
24,Wolves,3,19,2,0,34,52,17,2.00146,0.742809,0.0,0.0,2.209,w,3,1.259,27.132309,42.641146000000006,19
25,Wolves,0,19,1,2,35,54,17,1.05329,1.86758,0.0,0.0,1.917,l,0,-0.814,28.185599,44.508726,19
26,Wolves,3,22,1,0,36,54,17,2.10124,0.629691,0.0,0.0,0.481,w,3,1.472,30.286839,45.138417,22
27,Wolves,0,22,1,2,37,56,17,0.928973,1.43473,0.0,0.0,1.0,l,0,-0.506,31.215812,46.573147000000006,22
28,Wolves,1,23,1,1,38,57,17,0.812432,1.3672,0.0,0.0,0.946,d,1,-0.555,32.028244,47.940347,23
29,Wolves,3,26,2,1,40,58,17,0.540718,1.2821,0.0,0.0,1.941,w,3,-0.741,32.568962,49.222447,26
30,Wolves,3,29,1,0,41,58,17,1.10359,1.73057,0.0,0.0,0.964,w,3,-0.627,33.672552,50.953017,29
31,Wolves,3,32,2,1,43,59,17,2.8096,0.872356,0.0,0.0,0.403,w,3,1.937,36.482152,51.825373000000006,32
32,Wolves,3,35,4,2,47,61,16,2.22977,1.62887,0.0,0.0,1.748,w,3,0.601,38.711922,53.454243000000005,35
33,Wolves,3,38,1,0,48,61,15,0.187814,1.13966,0.0,0.0,2.168,w,3,-0.952,38.899736,54.593903000000005,38
34,Wolves,3,41,3,0,51,61,13,2.57666,1.04978,0.0,0.0,2.272,w,3,1.527,41.476396,55.643683,41
35,Wolves,0,41,0,1,51,62,13,0.622455,0.859463,0.0,0.0,1.526,l,0,-0.237,42.098851,56.503146,41
36,Wolves,0,41,0,2,51,64,14,0.73395,1.41254,0.0,0.0,0.857,l,0,-0.679,42.832801,57.915686,41
37,Wolves,0,41,2,4,53,68,14,1.42886,1.68451,0.0,0.0,1.548,l,0,-0.256,44.261661,59.600196,41
38,Wolves,1,42,1,1,54,69,16,1.10889,1.97196,0.0,0.0,0.845,d,1,-0.863,45.370551000000006,61.57215600000001,42
